GameN,Date,Year,Round,Region,F.Seed,F.Team,F.Conf,F.Score,F.AdjEM,U.Seed,U.Team,U.Conf,U.Score,U.AdjEM,Overtime,W.Team,Result,Score.D
,14-Mar-02,2002,1,East,5,Marquette,CUSA,69,21.47,12,Tulsa,WAC,71,15.59,,Tulsa,U,-2
,14-Mar-02,2002,1,East,4,Kentucky,SEC,83,22.21,13,Valparaiso,MCon,68,13.63,,Kentucky,F,15
,15-Mar-02,2002,1,East,6,Texas Tech,B12,68,17.24,11,Southern Illinois,MVC,76,13.45,,Southern Illinois,U,-8
,15-Mar-02,2002,1,East,1,Maryland,ACC,85,29.25,16,Siena,MAAC,70,-1.21,,Maryland,F,15
,15-Mar-02,2002,1,East,2,Connecticut,BE,78,19.36,15,Hampton,MEAC,67,3.99,,Connecticut,F,11
,15-Mar-02,2002,1,East,3,Georgia,SEC,85,18.44,14,Murray St.,OVC,68,1.35,,Georgia,F,17
,15-Mar-02,2002,1,East,7,North Carolina St.,ACC,69,19.15,10,Michigan St.,B10,58,16.86,,North Carolina St.,F,11
,15-Mar-02,2002,1,East,8,Wisconsin,B10,80,13.22,9,St. John's,BE,70,9.06,,Wisconsin,F,10
,14-Mar-02,2002,1,Midwest,1,Kansas,B12,70,28.99,16,Holy Cross,Pat,59,-0.24,,Kansas,F,11
,14-Mar-02,2002,1,Midwest,2,Oregon,P10,81,22.97,15,Montana,BSky,62,-4.51,,Oregon,F,19
,14-Mar-02,2002,1,Midwest,7,Wake Forest,ACC,83,17.35,10,Pepperdine,WCC,74,11.72,,Wake Forest,F,9
,14-Mar-02,2002,1,Midwest,8,Stanford,P10,84,20.32,9,Western Kentucky,SB,68,14.51,,Stanford,F,16
,15-Mar-02,2002,1,Midwest,5,Florida,SEC,82,24.72,12,Creighton,MVC,83,11.82,2 OT,Creighton,U,-1
,15-Mar-02,2002,1,Midwest,3,Mississippi St.,SEC,70,18.25,14,McNeese St.,Slnd,58,5.39,,Mississippi St.,F,12
,15-Mar-02,2002,1,Midwest,4,Illinois,B10,93,23.21,13,San Diego St.,MWC,64,9.29,,Illinois,F,29
,15-Mar-02,2002,1,Midwest,6,Texas,B12,70,17.69,11,Boston College,BE,57,9.97,,Texas,F,13
,14-Mar-02,2002,1,South,4,USC,P10,89,20.67,13,UNC Wilmington,CAA,93,11.32,1 OT,UNC Wilmington,U,-4
,14-Mar-02,2002,1,South,1,Duke,ACC,84,34.19,16,Winthrop,BSth,37,-5.31,,Duke,F,47
,14-Mar-02,2002,1,South,2,Alabama,SEC,86,18.73,15,Florida Atlantic,ASun,78,-2.5,,Alabama,F,8
,14-Mar-02,2002,1,South,5,Indiana,B10,75,24.8,12,Utah,MWC,56,14.08,,Indiana,F,19
,14-Mar-02,2002,1,South,8,Notre Dame,BE,82,19.27,9,Charlotte,CUSA,63,15.73,,Notre Dame,F,19
,14-Mar-02,2002,1,South,10,Kent St.,MAC,69,20.39,7,Oklahoma St.,B12,61,15.8,,Kent St.,F,8
,15-Mar-02,2002,1,South,3,Pittsburgh,BE,71,19.94,14,Central Connecticut,NEC,54,0.93,,Pittsburgh,F,17
,15-Mar-02,2002,1,South,6,California,P10,82,16.03,11,Penn,Ivy,75,12.23,,California,F,7
,14-Mar-02,2002,1,West,12,Missouri,B12,93,17.49,5,Miami FL,BE,80,15.77,,Missouri,F,13
,14-Mar-02,2002,1,West,6,Gonzaga,WCC,66,18.51,11,Wyoming,MWC,73,11.01,,Wyoming,U,-7
