"","Date","Year","Round","Region","WSeed","Winner","wConf","WScore","W.AdjEM","LSeed","Loser","Lconf","LScore","AdjEM","Overtime"
"1","14-Mar-85",1985,"1","East",1,"Georgetown","BE",68,NA,16,"Lehigh","Pat",43,NA,""
"2","14-Mar-85",1985,"1","East",4,"Loyola Chicago","Horz",59,NA,13,"Iona","MAAC",58,NA,""
"3","14-Mar-85",1985,"1","East",5,"SMU","WAC",85,NA,12,"Old Dominion","CAA",68,NA,""
"4","14-Mar-85",1985,"1","East",8,"Temple","A10",60,NA,9,"Virginia Tech","BE",57,NA,""
"5","14-Mar-85",1985,"1","Midwest",1,"Oklahoma","B12",96,NA,16,"North Carolina A&T","MEAC",83,NA,""
"6","14-Mar-85",1985,"1","Midwest",4,"Ohio St.","B10",75,NA,13,"Iowa St.","B12",64,NA,""
"7","14-Mar-85",1985,"1","Midwest",5,"Louisiana Tech","WAC",78,NA,12,"Pittsburgh","BE",54,NA,""
"8","14-Mar-85",1985,"1","Southeast",2,"North Carolina","ACC",76,NA,15,"Middle Tennessee","SB",57,NA,""
"9","14-Mar-85",1985,"1","Southeast",3,"Kansas","B12",49,NA,14,"Ohio","MAC",38,NA,""
"10","14-Mar-85",1985,"1","Southeast",7,"Notre Dame","BE",79,NA,10,"Oregon St.","P10",70,NA,""
"11","14-Mar-85",1985,"1","West",1,"St. John's","BE",83,NA,16,"Southern","SWAC",59,NA,""
"12","14-Mar-85",1985,"1","West",4,"UNLV","MWC",85,NA,13,"San Diego St.","MWC",80,NA,""
"13","14-Mar-85",1985,"1","West",12,"Kentucky","SEC",66,NA,5,"Washington","P10",58,NA,""
"14","14-Mar-85",1985,"1","Southeast",11,"Auburn","SEC",59,NA,6,"Purdue","B10",58,NA,""
"15","14-Mar-85",1985,"1","Midwest",9,"Illinois St.","MVC",58,NA,8,"USC","P10",55,NA,""
"16","14-Mar-85",1985,"1","West",9,"Arkansas","SEC",63,NA,8,"Iowa","B10",54,NA,""
"17","15-Mar-85",1985,"1","East",2,"Georgia Tech","ACC",65,NA,15,"Mercer","ASun",58,NA,""
"18","15-Mar-85",1985,"1","East",3,"Illinois","B10",76,NA,14,"Northeastern","AE",57,NA,""
"19","15-Mar-85",1985,"1","East",6,"Georgia","SEC",67,NA,11,"Wichita St.","MVC",59,NA,""
"20","15-Mar-85",1985,"1","East",7,"Syracuse","BE",70,NA,10,"DePaul","CUSA",65,NA,""
"21","15-Mar-85",1985,"1","Midwest",2,"Memphis","CUSA",67,NA,15,"Penn","Ivy",55,NA,""
"22","15-Mar-85",1985,"1","Midwest",3,"Duke","ACC",75,NA,14,"Pepperdine","WCC",62,NA,""
"23","15-Mar-85",1985,"1","Midwest",7,"UAB","CUSA",70,NA,10,"Michigan St.","B10",68,NA,""
"24","15-Mar-85",1985,"1","Southeast",1,"Michigan","B10",59,NA,16,"Fairleigh Dickinson","NEC",55,NA,""
"25","15-Mar-85",1985,"1","Southeast",5,"Maryland","ACC",69,NA,12,"Miami OH","MAC",68,NA,"1 OT"
"26","15-Mar-85",1985,"1","Southeast",8,"Villanova","BE",51,NA,9,"Dayton","A10",49,NA,""
"27","15-Mar-85",1985,"1","West",2,"VCU","CAA",81,NA,15,"Marshall","MAC",65,NA,""
"28","15-Mar-85",1985,"1","West",3,"North Carolina St.","ACC",65,NA,14,"Nevada","WAC",56,NA,""
"29","15-Mar-85",1985,"1","West",7,"Alabama","SEC",50,NA,10,"Arizona","P10",41,NA,""
"30","15-Mar-85",1985,"1","Southeast",13,"Navy","Pat",78,NA,4,"LSU","SEC",55,NA,""
"31","15-Mar-85",1985,"1","Midwest",11,"Boston College","BE",55,NA,6,"Texas Tech","B12",53,NA,""
"32","15-Mar-85",1985,"1","West",11,"UTEP","WAC",79,NA,6,"Tulsa","WAC",75,NA,""
