TEAM,PAKE,PASE,Check Name
North Carolina,11.7,9.1,1
Connecticut,11.7,11.5,1
Michigan St.,11.2,14,1
Butler,9.2,11,1
Kentucky,8.7,9.2,1
Florida,8.6,11.3,1
UCLA,8.3,7.9,1
Syracuse,7.7,6,1
Oregon,6.5,5.7,1
Michigan,5.5,6.5,1
Kansas,4.7,-0.2,1
Xavier,4,3.4,1
Wisconsin,3.9,7.7,1
Auburn,3.5,3.8,1
Loyola Chicago,3.2,3.4,1
West Virginia,3,4.3,1
Villanova,2.9,1.1,1
Arizona,2.7,1.2,1
Maryland,2.7,2.8,1
George Mason,2.5,3,1
South Carolina,2.3,2.5,1
Texas Tech,2.3,3.1,1
Gonzaga,2.2,1.5,1
UAB,1.9,2,1
Ohio,1.9,2.3,1
Tulsa,1.9,3.1,1
La Salle,1.5,1.8,1
Florida Gulf Coast,1.5,1.8,1
Bradley,1.3,1.7,1
Georgia Tech,1.3,2.1,1
Kent St.,1.3,1.9,1
Purdue,1.3,3,1
Milwaukee,1.2,1.3,1
Louisville,1.1,3.7,1
Cornell,1.1,1.2,1
Georgia St.,1.1,1,1
Middle Tennessee,1.1,1.4,1
LSU,1,1,1
Florida St.,1,0.8,1
Memphis,1,-0.2,1
Nevada,0.9,0.4,1
Norfolk St.,0.9,0.9,1
UMBC,0.9,0.9,1
Texas A&M,0.8,1.6,1
Mercer,0.8,0.8,1
Dayton,0.8,-1.4,1
Marshall,0.7,0.8,1
Western Kentucky,0.7,0.9,1
Rhode Island,0.7,0.5,1
Washington,0.7,0.2,1
Morehead St.,0.7,0.7,1
USC,0.7,0.3,1
Liberty,0.7,0.5,1
Penn St.,0.6,0.5,1
Northwestern St.,0.6,0.7,1
Hampton,0.6,0.9,1
UC Irvine,0.5,0.5,1
Central Michigan,0.5,0.4,1
Little Rock,0.5,0.5,0
Lehigh,0.5,0.9,1
Siena,0.4,0.9,1
Cleveland St.,0.4,0.8,1
Wyoming,0.4,-0.1,1
Richmond,0.4,0.6,1
Pacific,0.4,0.5,1
Northwestern,0.4,0.3,1
Baylor,0.3,0.1,1
Indiana St.,0.3,0.1,1
VCU,0.2,0.3,1
San Diego,0.2,0.5,1
Harvard,0.2,0.6,1
Stephen F. Austin,0.1,0.5,1
South Florida,0.1,0.5,1
Bucknell,0.1,0.1,1
North Dakota St.,0.1,0.3,1
Wichita St.,0,1.4,1
Yale,0,0.3,1
UCF,0,0.2,1
Indiana,0,0.1,1
Arkansas Pine Bluff,0,0,1
North Carolina A&T,0,0,1
Delaware St.,0,0,1
Florida A&M,0,0,1
Wagner,0,-0.1,1
UT Arlington,0,0,1
Mississippi Valley St.,0,0,1
South Carolina St.,0,0,1
Fairleigh Dickinson,0,0,1
Alabama St.,0,0,1
UC Davis,0,0,1
Jackson St.,0,0,1
Lamar,0,0,1
Gardner Webb,0,0,1
Radford,0,0,1
Kansas St.,0,-0.7,1
Eastern Illinois,0,-0.1,1
Pepperdine,-0.1,-0.2,1
Abilene Christian,-0.1,-0.1,1
Lafayette,-0.1,-0.1,1
Texas Southern,-0.1,-0.1,1
Lipscomb,-0.1,-0.1,1
North Dakota,-0.1,-0.1,1
Colgate,-0.1,-0.1,1
Jacksonville St.,-0.1,-0.1,1
Manhattan,-0.1,0.1,1
Coastal Carolina,-0.1,0,1
Troy,-0.1,-0.1,1
Florida Atlantic,-0.1,-0.1,1
Cal Poly,-0.1,0,1
Loyola MD,-0.1,-0.1,1
Northern Colorado,-0.1,-0.1,1
UTSA,-0.1,0,1
Binghamton,-0.1,-0.1,1
Detroit,-0.1,-0.1,1
James Madison,-0.1,0,1
