Date,Year,Round,Region,WSeed,Winner,wConf,WScore,LSeed,Loser,Lconf,LScore,Overtime,MV,SeD,Upset,LEW,LAW,LDW
14-Mar-85,1985,1,East,1,Georgetown,BE,68,16,Lehigh,Pat,43,,25,15,,0.007142857,0,-0.007142857
14-Mar-85,1985,1,East,4,Loyola Chicago,Horz,59,13,Iona,MAAC,58,,1,9,,0.25,0,-0.25
14-Mar-85,1985,1,East,5,SMU,WAC,85,12,Old Dominion,CAA,68,,17,7,,0.514285714,0,-0.514285714
14-Mar-85,1985,1,East,8,Temple,A10,60,9,Virginia Tech,BE,57,,3,1,,0.6,0,-0.6
14-Mar-85,1985,1,Midwest,1,Oklahoma,B12,96,16,North Carolina A&T,MEAC,83,,13,15,,0.007142857,0,-0.007142857
14-Mar-85,1985,1,Midwest,4,Ohio St.,B10,75,13,Iowa St.,B12,64,,11,9,,0.25,0,-0.25
14-Mar-85,1985,1,Midwest,5,Louisiana Tech,WAC,78,12,Pittsburgh,BE,54,,24,7,,0.514285714,0,-0.514285714
14-Mar-85,1985,1,Southeast,2,North Carolina,ACC,76,15,Middle Tennessee,SB,57,,19,13,,0.064285714,0,-0.064285714
14-Mar-85,1985,1,Southeast,3,Kansas,B12,49,14,Ohio,MAC,38,,11,11,,0.164285714,0,-0.164285714
14-Mar-85,1985,1,Southeast,7,Notre Dame,BE,79,10,Oregon St.,P10,70,,9,3,,0.621428571,0,-0.621428571
14-Mar-85,1985,1,West,1,St. John's,BE,83,16,Southern,SWAC,59,,24,15,,0.007142857,0,-0.007142857
14-Mar-85,1985,1,West,4,UNLV,MWC,85,13,San Diego St.,MWC,80,,5,9,,0.25,0,-0.25
14-Mar-85,1985,1,West,12,Kentucky,SEC,66,5,Washington,P10,58,,8,-7,12 over 5,1.107142857,0,-1.107142857
14-Mar-85,1985,1,Southeast,11,Auburn,SEC,59,6,Purdue,B10,58,,1,-5,11 over 6,1.078571429,0,-1.078571429
14-Mar-85,1985,1,Midwest,9,Illinois St.,MVC,58,8,USC,P10,55,,3,-1,,0.7,0,-0.7
14-Mar-85,1985,1,West,9,Arkansas,SEC,63,8,Iowa,B10,54,,9,-1,,0.7,0,-0.7
15-Mar-85,1985,1,East,2,Georgia Tech,ACC,65,15,Mercer,ASun,58,,7,13,,0.064285714,0,-0.064285714
15-Mar-85,1985,1,East,3,Illinois,B10,76,14,Northeastern,AE,57,,19,11,,0.164285714,0,-0.164285714
15-Mar-85,1985,1,East,6,Georgia,SEC,67,11,Wichita St.,MVC,59,,8,5,,0.614285714,0,-0.614285714
15-Mar-85,1985,1,East,7,Syracuse,BE,70,10,DePaul,CUSA,65,,5,3,,0.621428571,0,-0.621428571
15-Mar-85,1985,1,Midwest,2,Memphis,CUSA,67,15,Penn,Ivy,55,,12,13,,0.064285714,0,-0.064285714
15-Mar-85,1985,1,Midwest,3,Duke,ACC,75,14,Pepperdine,WCC,62,,13,11,,0.164285714,0,-0.164285714
15-Mar-85,1985,1,Midwest,7,UAB,CUSA,70,10,Michigan St.,B10,68,,2,3,,0.621428571,0,-0.621428571
15-Mar-85,1985,1,Southeast,1,Michigan,B10,59,16,Fairleigh Dickinson,NEC,55,,4,15,,0.007142857,0,-0.007142857
15-Mar-85,1985,1,Southeast,5,Maryland,ACC,69,12,Miami OH,MAC,68,1 OT,1,7,,0.514285714,0,-0.514285714
15-Mar-85,1985,1,Southeast,8,Villanova,BE,51,9,Dayton,A10,49,,2,1,,0.6,0,-0.6
15-Mar-85,1985,1,West,2,VCU,CAA,81,15,Marshall,MAC,65,,16,13,,0.064285714,0,-0.064285714
15-Mar-85,1985,1,West,3,North Carolina St.,ACC,65,14,Nevada,WAC,56,,9,11,,0.164285714,0,-0.164285714
15-Mar-85,1985,1,West,7,Alabama,SEC,50,10,Arizona,P10,41,,9,3,,0.621428571,0,-0.621428571
15-Mar-85,1985,1,Southeast,13,Navy,Pat,78,4,LSU,SEC,55,,23,-9,13 over 4,1.535714286,0,-1.535714286
15-Mar-85,1985,1,Midwest,11,Boston College,BE,55,6,Texas Tech,B12,53,,2,-5,11 over 6,1.078571429,0,-1.078571429
15-Mar-85,1985,1,West,11,UTEP,WAC,79,6,Tulsa,WAC,75,,4,-5,11 over 6,1.078571429,0,-1.078571429
16-Mar-85,1985,2,East,1,Georgetown,BE,63,8,Temple,A10,46,,17,7,,0.7,1,0.3
16-Mar-85,1985,2,East,4,Loyola Chicago,Horz,70,5,SMU,WAC,57,,13,1,,1.107142857,1,-0.107142857
16-Mar-85,1985,2,Midwest,1,Oklahoma,B12,75,9,Illinois St.,MVC,69,,6,8,,0.6,1,0.4
16-Mar-85,1985,2,Southeast,2,North Carolina,ACC,60,7,Notre Dame,BE,58,,2,5,,0.9,1,0.1
16-Mar-85,1985,2,West,1,St. John's,BE,68,9,Arkansas,SEC,65,,3,8,,0.6,1,0.4
