"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","Rank.x","AdjEM.x","Rank.y","AdjEM.y"
2002,"PI",16,"Siena",81,16,"Alcorn St.",77,174,-1.21,252,-8.71
2002,"1",13,"UNC Wilmington",93,4,"USC",89,65,11.32,12,20.67
2002,"1",12,"Tulsa",71,5,"Marquette",69,41,15.59,11,21.47
2002,"1",12,"Missouri",93,5,"Miami FL",80,29,17.49,39,15.77
2002,"1",11,"Wyoming",73,6,"Gonzaga",66,67,11.01,24,18.51
2002,"1",4,"Kentucky",83,13,"Valparaiso",68,10,22.21,47,13.63
2002,"1",1,"Kansas",70,16,"Holy Cross",59,4,28.99,162,-0.24
2002,"1",2,"Oregon",81,15,"Montana",62,9,22.97,210,-4.51
2002,"1",7,"Wake Forest",83,10,"Pepperdine",74,30,17.35,62,11.72
2002,"1",8,"Stanford",84,9,"Western Kentucky",68,15,20.32,44,14.51
2002,"1",1,"Duke",84,16,"Winthrop",37,1,34.19,219,-5.31
2002,"1",2,"Alabama",86,15,"Florida Atlantic",78,22,18.73,191,-2.5
2002,"1",5,"Indiana",75,12,"Utah",56,6,24.8,45,14.08
2002,"1",8,"Notre Dame",82,9,"Charlotte",63,19,19.27,40,15.73
2002,"1",3,"Arizona",86,14,"UC Santa Barbara",81,13,20.54,77,8.87
2002,"1",4,"Ohio St.",69,13,"Davidson",64,17,19.76,119,3.7
2002,"1",10,"Kent St.",69,7,"Oklahoma St.",61,14,20.39,38,15.8
2002,"1",12,"Creighton",83,5,"Florida",82,59,11.82,7,24.72
2002,"1",11,"Southern Illinois",76,6,"Texas Tech",68,49,13.45,31,17.24
2002,"1",1,"Maryland",85,16,"Siena",70,3,29.25,174,-1.21
2002,"1",2,"Connecticut",78,15,"Hampton",67,18,19.36,116,3.99
2002,"1",3,"Georgia",85,14,"Murray St.",68,25,18.44,146,1.35
2002,"1",7,"North Carolina St.",69,10,"Michigan St.",58,21,19.15,32,16.86
2002,"1",8,"Wisconsin",80,9,"St. John's",70,50,13.22,76,9.06
2002,"1",3,"Mississippi St.",70,14,"McNeese St.",58,26,18.25,100,5.39
2002,"1",4,"Illinois",93,13,"San Diego St.",64,8,23.21,74,9.29
2002,"1",6,"Texas",70,11,"Boston College",57,27,17.69,71,9.97
2002,"1",3,"Pittsburgh",71,14,"Central Connecticut",54,16,19.94,150,0.93
2002,"1",6,"California",82,11,"Penn",75,37,16.03,58,12.23
2002,"1",1,"Cincinnati",90,16,"Boston University",52,2,30.19,194,-2.74
2002,"1",2,"Oklahoma",71,15,"Illinois Chicago",63,5,26.04,118,3.85
2002,"1",7,"Xavier",70,10,"Hawaii",58,23,18.6,51,13.15
2002,"1",8,"UCLA",80,9,"Mississippi",58,35,16.34,34,16.68
2002,"2",10,"Kent St.",71,2,"Alabama",58,14,20.39,22,18.73
2002,"2",12,"Missouri",83,4,"Ohio St.",67,29,17.49,17,19.76
2002,"2",4,"Kentucky",87,12,"Tulsa",82,10,22.21,41,15.59
2002,"2",1,"Kansas",86,8,"Stanford",63,4,28.99,15,20.32
2002,"2",2,"Oregon",92,7,"Wake Forest",87,9,22.97,30,17.35
2002,"2",1,"Duke",84,8,"Notre Dame",77,1,34.19,19,19.27
2002,"2",5,"Indiana",76,13,"UNC Wilmington",67,6,24.8,65,11.32
2002,"2",3,"Arizona",68,11,"Wyoming",60,13,20.54,67,11.01
2002,"2",11,"Southern Illinois",77,3,"Georgia",75,49,13.45,25,18.44
2002,"2",8,"UCLA",105,1,"Cincinnati",101,35,16.34,2,30.19
2002,"2",1,"Maryland",87,8,"Wisconsin",57,3,29.25,50,13.22
2002,"2",2,"Connecticut",77,7,"North Carolina St.",74,18,19.36,21,19.15
2002,"2",4,"Illinois",72,12,"Creighton",60,8,23.21,59,11.82
2002,"2",3,"Pittsburgh",63,6,"California",50,16,19.94,37,16.03
2002,"2",2,"Oklahoma",78,7,"Xavier",65,5,26.04,23,18.6
2002,"2",6,"Texas",68,3,"Mississippi St.",64,27,17.69,26,18.25
2002,"3",10,"Kent St.",78,3,"Pittsburgh",73,14,20.39,16,19.94
2002,"3",5,"Indiana",74,1,"Duke",73,6,24.8,1,34.19
2002,"3",12,"Missouri",82,8,"UCLA",73,29,17.49,35,16.34
2002,"3",2,"Oklahoma",88,3,"Arizona",67,5,26.04,13,20.54
2002,"3",1,"Maryland",78,4,"Kentucky",68,3,29.25,10,22.21
2002,"3",2,"Connecticut",71,11,"Southern Illinois",59,18,19.36,49,13.45
2002,"3",1,"Kansas",73,4,"Illinois",69,4,28.99,8,23.21
2002,"3",2,"Oregon",72,6,"Texas",70,9,22.97,27,17.69
2002,"4",5,"Indiana",81,10,"Kent St.",69,6,24.8,14,20.39
2002,"4",2,"Oklahoma",81,12,"Missouri",75,5,26.04,29,17.49
2002,"4",1,"Maryland",90,2,"Connecticut",82,3,29.25,18,19.36
2002,"4",1,"Kansas",104,2,"Oregon",86,4,28.99,9,22.97
2002,"5",1,"Maryland",97,1,"Kansas",88,3,29.25,4,28.99
2002,"5",5,"Indiana",73,2,"Oklahoma",64,6,24.8,5,26.04
2002,"6",1,"Maryland",64,5,"Indiana",52,3,29.25,6,24.8
2003,"PI",16,"UNC Asheville",92,16,"Texas Southern",84,283,-12.35,260,-10.45
2003,"1",13,"Tulsa",84,4,"Dayton",71,51,13.04,40,14.53
2003,"1",11,"Central Michigan",79,6,"Creighton",73,70,10.01,26,17.54
2003,"1",1,"Oklahoma",71,16,"South Carolina St.",54,9,23.01,244,-8.59
2003,"1",8,"California",76,9,"North Carolina St.",74,47,13.59,50,13.18
2003,"1",3,"Marquette",72,14,"Holy Cross",68,15,21.3,66,10.4
2003,"1",5,"Wisconsin",81,12,"Weber St.",74,12,22.07,76,8.88
2003,"1",6,"Missouri",72,11,"Southern Illinois",71,28,17.32,55,11.76
2003,"1",4,"Stanford",77,13,"San Diego",69,39,14.57,80,8.32
2003,"1",5,"Connecticut",58,12,"BYU",53,22,19.54,24,17.68
2003,"1",1,"Arizona",80,16,"Vermont",51,4,26.8,150,1.57
2003,"1",2,"Kansas",64,15,"Utah St.",61,2,28.62,88,7.41
2003,"1",3,"Duke",67,14,"Colorado St.",57,6,23.75,104,5.96
2003,"1",4,"Illinois",65,13,"Western Kentucky",60,5,24.47,56,11.75
2003,"1",5,"Notre Dame",70,12,"Milwaukee",69,18,20.31,52,12.97
2003,"1",10,"Arizona St.",84,7,"Memphis",71,30,16.49,29,16.72
2003,"1",9,"Gonzaga",74,8,"Cincinnati",69,33,15.58,36,14.69
2003,"1",12,"Butler",47,5,"Mississippi St.",46,31,16.09,14,21.53
2003,"1",2,"Wake Forest",76,15,"East Tennessee St.",73,21,19.87,147,1.75
2003,"1",3,"Syracuse",76,14,"Manhattan",65,8,23.28,68,10.04
2003,"1",4,"Louisville",86,13,"Austin Peay",64,10,22.75,135,2.65
2003,"1",6,"Oklahoma St.",77,11,"Penn",63,25,17.67,48,13.35
2003,"1",1,"Kentucky",95,16,"IUPUI",64,1,29.18,161,0.46
2003,"1",2,"Pittsburgh",87,15,"Wagner",61,3,28.61,179,-1.16
2003,"1",7,"Indiana",67,10,"Alabama",62,41,14.48,38,14.6
2003,"1",1,"Texas",82,16,"UNC Asheville",61,7,23.49,283,-12.35
2003,"1",2,"Florida",85,15,"Sam Houston St.",55,11,22.14,157,0.82
2003,"1",3,"Xavier",71,14,"Troy",59,20,19.88,99,6.15
2003,"1",6,"Maryland",75,11,"UNC Wilmington",73,13,22,37,14.62
