lon,lat,price,finished_squarefeet,year_built,date,address,city,state,zip,acres,num_dwellings,class,condition,total_squarefeet,bedrooms,full_baths,half_baths,month,address_city
44.280349,17.578079,267500,1520,1967,12/31/2015,1112 NW 26TH ST,CORVALLIS,OR,97330-4331,0.18,1,Dwelling,AV,2192,5,2,0,12,"1112 NW 26TH ST, CORVALLIS, OR"
44.2330056,17.5971776,255000,1665,1990,12/31/2015,1221 NE CONROY PL,CORVALLIS,OR,97330,0.13,1,Dwelling,AV,2193,3,2,1,12,"1221 NE CONROY PL, CORVALLIS, OR"
44.263518,17.5692329,295000,1440,1948,12/31/2015,440 NW 7TH ST,CORVALLIS,OR,97330-6308,0.12,1,Dwelling,G,1860,3,2,0,12,"440 NW 7TH ST, CORVALLIS, OR"
44.259873,17.594534,5000,784,1978,12/31/2015,2655 NW HIGHLAND DR SPACE 104,CORVALLIS,OR,97330-3654,0,1,Mobile Home,F,784,0,1,0,12,"2655 NW HIGHLAND DR SPACE 104, CORVALLIS, OR"
44.263154,17.536056,13950,1344,1979,12/31/2015,300 SE GOODNIGHT AVE SPACE 7,CORVALLIS,OR,97333-2163,0,1,Mobile Home,AV,1344,0,2,0,12,"300 SE GOODNIGHT AVE SPACE 7, CORVALLIS, OR"
44.284723,17.598765,233000,1567,2002,12/30/2015,3006 NW MORNING GLORY DR,CORVALLIS,OR,97330,0.04,1,Dwelling,AV,2007,3,2,1,12,"3006 NW MORNING GLORY DR, CORVALLIS, OR"
44.236332,17.603042,245000,1174,1972,12/30/2015,3545 NE CANTERBURY CIR,CORVALLIS,OR,97330-4007,0.23,1,Dwelling,G,1678,3,1,1,12,"3545 NE CANTERBURY CIR, CORVALLIS, OR"
44.266215,17.593486,216000,912,1970,12/30/2015,1236 NW WALNUT BLVD,CORVALLIS,OR,97330-3605,0.22,1,Dwelling,AV,1440,3,1,0,12,"1236 NW WALNUT BLVD, CORVALLIS, OR"
44.2842478,17.5986974,231000,1404,2002,12/29/2015,2997 NW MORNING GLORY DR,CORVALLIS,OR,97330,0.03,1,Dwelling,AV,1604,3,2,1,12,"2997 NW MORNING GLORY DR, CORVALLIS, OR"
44.3094688,17.5519677,215000,1060,1959,12/29/2015,5075 SW PHILOMATH BLVD,CORVALLIS,OR,97333,0.44,1,Dwelling,G,2010,3,1,1,12,"5075 SW PHILOMATH BLVD, CORVALLIS, OR"
44.260153,17.595555,307000,1500,1998,12/29/2015,941 NW ANJNI CIR,CORVALLIS,OR,97330,0.12,1,Dwelling,AV,2124,3,2,1,12,"941 NW ANJNI CIR, CORVALLIS, OR"
44.292598,17.594582,385000,1883,1971,12/24/2015,3763 NW CAMAS PL,CORVALLIS,OR,97330-3414,0.2,1,Dwelling,G,2366,5,3,0,12,"3763 NW CAMAS PL, CORVALLIS, OR"
44.2463352,17.5946242,70000,1512,1998,12/24/2015,2601 NE JACK LONDON ST SPACE 113,CORVALLIS,OR,97330,0,1,Mobile Home,AV,1824,0,2,0,12,"2601 NE JACK LONDON ST SPACE 113, CORVALLIS, OR"
44.272113,17.570883,435350,2822,1938,12/23/2015,411 NW 16TH ST,CORVALLIS,OR,97330-5706,0.11,1,Dwelling,G,3062,6,3,0,12,"411 NW 16TH ST, CORVALLIS, OR"
44.24968,17.590523,3000,540,1963,12/23/2015,755 NE CIRCLE BLVD SPACE 19,CORVALLIS,OR,97330,0,1,Mobile Home,G,540,0,1,0,12,"755 NE CIRCLE BLVD SPACE 19, CORVALLIS, OR"
44.22785,17.597,2.00E+05,1855,1972,12/21/2015,2150 NE CONIFER BLVD,CORVALLIS,OR,97330,1,1,Dwelling,F,3495,4,2,1,12,"2150 NE CONIFER BLVD, CORVALLIS, OR"
44.2759501,17.5837454,295900,1960,1967,12/21/2015,1637 TO 1639 NW KINGS BLVD,CORVALLIS,OR,97330,0.13,1,Dwelling,AV,2680,5,2,1,12,"1637 TO 1639 NW KINGS BLVD, CORVALLIS, OR"
44.300568,17.5546821,193000,1316,1952,12/18/2015,4345 SW PHILOMATH BLVD,CORVALLIS,OR,97333,0.25,1,Dwelling,AV,1627,3,1,0,12,"4345 SW PHILOMATH BLVD, CORVALLIS, OR"
44.230366,17.590765,243000,1872,1965,12/18/2015,1964 NE SEAVY AVE,CORVALLIS,OR,97330-4246,0.34,1,Dwelling,AV,2352,3,2,0,12,"1964 NE SEAVY AVE, CORVALLIS, OR"
44.274744,17.572145,279900,2278,1926,12/18/2015,447 NW KINGS BLVD,CORVALLIS,OR,97330,0.17,1,Dwelling,AV,2926,3,2,0,12,"447 NW KINGS BLVD, CORVALLIS, OR"
44.288138,17.579004,349000,1875,1890,12/18/2015,3333 NW GRANT AVE,CORVALLIS,OR,97330-2347,0.33,1,Dwelling,G,2163,3,1,0,12,"3333 NW GRANT AVE, CORVALLIS, OR"
44.300357,17.544084,525000,2873,2004,12/17/2015,2145 SW 45TH ST,CORVALLIS,OR,97333,0.17,1,Dwelling,AV,3641,3,2,1,12,"2145 SW 45TH ST, CORVALLIS, OR"
44.25971,17.600916,387000,2216,1976,12/17/2015,3446 NW MAXINE CIR,CORVALLIS,OR,97330-3728,0.3,1,Dwelling,G,2792,4,3,0,12,"3446 NW MAXINE CIR, CORVALLIS, OR"
44.263669,17.543135,190000,2568,1961,12/15/2015,330 SE VIEWMONT AVE,CORVALLIS,OR,97333,0.3,1,Dwelling,AV,3064,5,2,0,12,"330 SE VIEWMONT AVE, CORVALLIS, OR"
44.289797,17.5522149,16465,1282,1993,12/15/2015,1431 SW BIRDIE DR,CORVALLIS,OR,97333,0.15,1,Dwelling,G,1682,3,2,0,12,"1431 SW BIRDIE DR, CORVALLIS, OR"
44.295838,17.547461,752700,4258,2007,12/15/2015,1740 SW PINEHURST PL,CORVALLIS,OR,97333,0.22,1,Dwelling,AV,5207,3,3,1,12,"1740 SW PINEHURST PL, CORVALLIS, OR"
44.2470836,17.5892185,1.00E+07,0,NA,12/15/2015,2120 NE JACK LONDON ST,CORVALLIS,OR,97330,0.18,0,NA,0,0,0,0,0,12,"2120 NE JACK LONDON ST, CORVALLIS, OR"
44.2462276,17.5914208,1.00E+07,0,NA,12/15/2015,2121 NE JACK LONDON ST,CORVALLIS,OR,97330,0,0,Commercial,AV,10,0,0,0,12,"2121 NE JACK LONDON ST, CORVALLIS, OR"
44.2462276,17.5914208,1.00E+07,0,1997,12/15/2015,2121 NE JACK LONDON ST BLDG A-B,CORVALLIS,OR,97330,10.19,0,Commercial,0,192991,0,0,0,12,"2121 NE JACK LONDON ST BLDG A-B, CORVALLIS, OR"
44.2594681,17.5915734,240000,1058,1968,12/15/2015,972 NW CYPRESS AVE,CORVALLIS,OR,97330,0.22,1,Dwelling,AV,1562,3,1,0,12,"972 NW CYPRESS AVE, CORVALLIS, OR"
44.28484,17.57479,145845,1388,1949,12/15/2015,3007 NW TAYLOR AVE,CORVALLIS,OR,97330-5128,0.15,1,Dwelling,F,2690,3,2,0,12,"3007 NW TAYLOR AVE, CORVALLIS, OR"
44.255081,17.592465,340000,2128,1971,12/15/2015,603 NW LINDEN AVE,CORVALLIS,OR,97330,0.23,1,Dwelling,AV,2940,5,3,0,12,"603 NW LINDEN AVE, CORVALLIS, OR"
44.26979,17.5726159,256500,0,1905,12/14/2015,626 NW 14TH ST,CORVALLIS,OR,97330-5912,0.11,2,Dwelling,0,2608,0,0,0,12,"626 NW 14TH ST, CORVALLIS, OR"
44.2470836,17.5892185,1.00E+07,0,NA,12/11/2015,2120 NE JACK LONDON ST,CORVALLIS,OR,97330,0.18,0,NA,0,0,0,0,0,12,"2120 NE JACK LONDON ST, CORVALLIS, OR"
44.2462276,17.5914208,1.00E+07,0,NA,12/11/2015,2121 NE JACK LONDON ST,CORVALLIS,OR,97330,0,0,Commercial,AV,10,0,0,0,12,"2121 NE JACK LONDON ST, CORVALLIS, OR"
44.2462276,17.5914208,1.00E+07,0,1997,12/11/2015,2121 NE JACK LONDON ST BLDG A-B,CORVALLIS,OR,97330,10.19,0,Commercial,0,192991,0,0,0,12,"2121 NE JACK LONDON ST BLDG A-B, CORVALLIS, OR"
44.3054,17.592312,420000,2584,1996,12/11/2015,2546 NW ACEY WAY,CORVALLIS,OR,97330,0.22,1,Dwelling,AV,3260,4,2,1,12,"2546 NW ACEY WAY, CORVALLIS, OR"
44.24968,17.590523,26000,924,1994,12/11/2015,755 NE CIRCLE BLVD SPACE 42,CORVALLIS,OR,97330-4252,0,1,Mobile Home,AV,924,0,2,0,12,"755 NE CIRCLE BLVD SPACE 42, CORVALLIS, OR"
44.254225,17.598011,329900,1700,1974,12/10/2015,553 NW MAXINE AVE,CORVALLIS,OR,97330,0.21,1,Dwelling,G,2168,3,2,1,12,"553 NW MAXINE AVE, CORVALLIS, OR"
44.264946,17.597053,315000,2467,1978,12/10/2015,1156 NW CHARLEMAGNE PL,CORVALLIS,OR,97330-3626,0.17,1,Dwelling,G,2995,3,2,1,12,"1156 NW CHARLEMAGNE PL, CORVALLIS, OR"
44.314419,17.559495,230000,1392,1972,12/10/2015,720 SW 55TH ST,CORVALLIS,OR,97333,0.19,1,Dwelling,AV,1968,3,1,1,12,"720 SW 55TH ST, CORVALLIS, OR"
44.282013,17.582147,418500,2042,2009,12/10/2015,2753 NW HAYES AVE,CORVALLIS,OR,97330,0.27,1,Dwelling,AV,2548,3,2,0,12,"2753 NW HAYES AVE, CORVALLIS, OR"
44.262841,17.591476,247000,1012,1959,12/9/2015,2320 NW HIGHLAND DR,CORVALLIS,OR,97330,0.22,1,Dwelling,AV,1492,3,1,0,12,"2320 NW HIGHLAND DR, CORVALLIS, OR"
44.2628129,17.5926899,225000,1560,1959,12/9/2015,2420 NW HIGHLAND DR,CORVALLIS,OR,97330-1544,0.26,1,Dwelling,AV,1920,3,1,0,12,"2420 NW HIGHLAND DR, CORVALLIS, OR"
