GameN,Date,Year,Round,Region,Favored,Seed,Team,Conf,Score,Winner,Result
-1,18/Mar/2003,2003,PI,ES,F,16,Texas Southern,SWAC,84,UNC Asheville,U
-1,18/Mar/2003,2003,PI,ES,U,16,North Carolina-Asheville,BSth,92,UNC Asheville,U
1,20/Mar/2003,2003,1,EN,F,1,Oklahoma,B12,71,Oklahoma,F
1,20/Mar/2003,2003,1,EN,U,16,South Carolina State,MEAC,54,Oklahoma,F
2,20/Mar/2003,2003,1,EN,F,8,University of California,P10,76,California,F
2,20/Mar/2003,2003,1,EN,U,9,North Carolina State,ACC,74,California,F
3,21/Mar/2003,2003,1,EN,F,5,Mississippi State,SEC,46,Butler,U
3,21/Mar/2003,2003,1,EN,U,12,Butler,Horz,47,Butler,U
4,21/Mar/2003,2003,1,EN,F,4,Louisville,CUSA,86,Louisville,F
4,21/Mar/2003,2003,1,EN,U,13,Austin Peay,OVC,64,Louisville,F
5,21/Mar/2003,2003,1,EN,F,6,Oklahoma State,B12,77,Oklahoma St.,F
5,21/Mar/2003,2003,1,EN,U,11,Pennsylvania,Ivy,63,Oklahoma St.,F
6,21/Mar/2003,2003,1,EN,F,3,Syracuse,BE,76,Syracuse,F
6,21/Mar/2003,2003,1,EN,U,14,Manhattan,MAAC,65,Syracuse,F
7,21/Mar/2003,2003,1,EN,F,7,Saint Joseph's,A10,63,Auburn,U
7,21/Mar/2003,2003,1,EN,U,10,Auburn,SEC,65,Auburn,U
8,21/Mar/2003,2003,1,EN,F,2,Wake Forest,ACC,76,Wake Forest,F
8,21/Mar/2003,2003,1,EN,U,15,East Tennessee State,SC,73,Wake Forest,F
9,20/Mar/2003,2003,1,WN,F,1,Arizona,P10,80,Arizona,F
9,20/Mar/2003,2003,1,WN,U,16,Vermont,AE,51,Arizona,F
10,20/Mar/2003,2003,1,WN,F,9,Gonzaga,WCC,74,Gonzaga,F
10,20/Mar/2003,2003,1,WN,U,8,Cincinnati,CUSA,69,Gonzaga,F
11,20/Mar/2003,2003,1,WN,F,5,Notre Dame,BE,70,Notre Dame,F
11,20/Mar/2003,2003,1,WN,U,12,Milwaukee,Horz,69,Notre Dame,F
12,20/Mar/2003,2003,1,WN,F,4,Illinois,B10,65,Illinois,F
12,20/Mar/2003,2003,1,WN,U,13,Western Kentucky,SB,60,Illinois,F
13,20/Mar/2003,2003,1,WN,F,6,Creighton,MVC,73,Central Michigan,U
13,20/Mar/2003,2003,1,WN,U,11,Central Michigan,MAC,79,Central Michigan,U
14,20/Mar/2003,2003,1,WN,F,3,Duke,ACC,67,Duke,F
14,20/Mar/2003,2003,1,WN,U,14,Colorado State,MWC,57,Duke,F
15,20/Mar/2003,2003,1,WN,F,7,Memphis,CUSA,71,Arizona St.,U
15,20/Mar/2003,2003,1,WN,U,10,Arizona State,P10,84,Arizona St.,U
16,20/Mar/2003,2003,1,WN,F,2,Kansas,B12,64,Kansas,F
16,20/Mar/2003,2003,1,WN,U,15,Utah State,BW,61,Kansas,F
17,21/Mar/2003,2003,1,ES,F,1,Texas,B12,82,Texas,F
17,21/Mar/2003,2003,1,ES,U,16,North Carolina-Asheville,BSth,61,Texas,F
18,21/Mar/2003,2003,1,ES,F,8,Louisiana State,SEC,56,Purdue,U
18,21/Mar/2003,2003,1,ES,U,9,Purdue,B10,80,Purdue,U
19,20/Mar/2003,2003,1,ES,F,5,Connecticut,BE,58,Connecticut,F
19,20/Mar/2003,2003,1,ES,U,12,Brigham Young,MWC,53,Connecticut,F
20,20/Mar/2003,2003,1,ES,F,4,Stanford,P10,77,Stanford,F
20,20/Mar/2003,2003,1,ES,U,13,San Diego,WCC,69,Stanford,F
21,21/Mar/2003,2003,1,ES,F,6,Maryland,ACC,75,Maryland,F
21,21/Mar/2003,2003,1,ES,U,11,North Carolina-Wilmington,CAA,73,Maryland,F
22,21/Mar/2003,2003,1,ES,F,3,Xavier,A10,71,Xavier,F
22,21/Mar/2003,2003,1,ES,U,14,Troy,ASun,59,Xavier,F
23,21/Mar/2003,2003,1,ES,F,7,Michigan State,B10,79,Michigan St.,F
23,21/Mar/2003,2003,1,ES,U,10,Colorado,B12,64,Michigan St.,F
24,21/Mar/2003,2003,1,ES,F,2,Florida,SEC,85,Florida,F
24,21/Mar/2003,2003,1,ES,U,15,Sam Houston State,Slnd,55,Florida,F
25,21/Mar/2003,2003,1,WS,F,1,Kentucky,SEC,95,Kentucky,F
25,21/Mar/2003,2003,1,WS,U,16,IUPUI,MCon,64,Kentucky,F
26,21/Mar/2003,2003,1,WS,F,8,Oregon,P10,58,Utah,U
26,21/Mar/2003,2003,1,WS,U,9,Utah,MWC,60,Utah,U
27,20/Mar/2003,2003,1,WS,F,6,Missouri,B12,72,Missouri,F
27,20/Mar/2003,2003,1,WS,U,11,Southern Illinois,MVC,71,Missouri,F
28,20/Mar/2003,2003,1,WS,F,5,Wisconsin,B10,81,Wisconsin,F
28,20/Mar/2003,2003,1,WS,U,12,Weber State,BSky,74,Wisconsin,F
29,21/Mar/2003,2003,1,WS,F,10,Alabama,SEC,62,Indiana,U
29,21/Mar/2003,2003,1,WS,U,7,Indiana,B10,67,Indiana,U
30,20/Mar/2003,2003,1,WS,F,4,Dayton,A10,71,Tulsa,U
30,20/Mar/2003,2003,1,WS,U,13,Tulsa,WAC,84,Tulsa,U
31,21/Mar/2003,2003,1,WS,F,2,Pittsburgh,BE,87,Pittsburgh,F
31,21/Mar/2003,2003,1,WS,U,15,Wagner,NEC,61,Pittsburgh,F
32,20/Mar/2003,2003,1,WS,F,3,Marquette,CUSA,72,Marquette,F
32,20/Mar/2003,2003,1,WS,U,14,Holy Cross,Pat,68,Marquette,F
33,22/Mar/2003,2003,2,EN,F,1,Oklahoma,B12,74,Oklahoma,F
33,22/Mar/2003,2003,2,EN,U,8,University of California,P10,65,Oklahoma,F
34,23/Mar/2003,2003,2,EN,F,4,Louisville,CUSA,71,Butler,U
34,23/Mar/2003,2003,2,EN,U,12,Butler,Horz,79,Butler,U
35,23/Mar/2003,2003,2,EN,F,3,Syracuse,BE,68,Syracuse,F
35,23/Mar/2003,2003,2,EN,U,6,Oklahoma State,B12,56,Syracuse,F
36,23/Mar/2003,2003,2,EN,F,2,Wake Forest,ACC,62,Auburn,U
36,23/Mar/2003,2003,2,EN,U,10,Auburn,SEC,68,Auburn,U
37,22/Mar/2003,2003,2,WN,F,1,Arizona,P10,96,Arizona,F
37,22/Mar/2003,2003,2,WN,U,9,Gonzaga,WCC,95,Arizona,F
38,22/Mar/2003,2003,2,WN,F,4,Illinois,B10,60,Notre Dame,U
38,22/Mar/2003,2003,2,WN,U,5,Notre Dame,BE,68,Notre Dame,U
