TEAM,PAKE,PASE,Check
North Carolina,11.7,9.1,18
Connecticut,11.7,11.5,18
Michigan St.,11.2,14,18
Butler,9.2,11,18
Kentucky,8.7,9.2,18
Florida,8.6,11.3,18
UCLA,8.3,7.9,18
Syracuse,7.7,6,18
Oregon,6.5,5.7,18
Michigan,5.5,6.5,18
Kansas,4.7,-0.2,18
Xavier,4,3.4,18
Wisconsin,3.9,7.7,18
Auburn,3.5,3.8,18
Loyola Chicago,3.2,3.4,18
West Virginia,3,4.3,18
Villanova,2.9,1.1,18
Arizona,2.7,1.2,18
Maryland,2.7,2.8,18
George Mason,2.5,3,18
South Carolina,2.3,2.5,18
Texas Tech,2.3,3.1,18
Gonzaga,2.2,1.5,18
UAB,1.9,2,18
Ohio,1.9,2.3,18
Tulsa,1.9,3.1,18
La Salle,1.5,1.8,18
Florida Gulf Coast,1.5,1.8,12
Bradley,1.3,1.7,18
Georgia Tech,1.3,2.1,18
Kent St.,1.3,1.9,18
Purdue,1.3,3,18
Milwaukee,1.2,1.3,18
Louisville,1.1,3.7,18
Cornell,1.1,1.2,18
Georgia St.,1.1,1,18
Middle Tennessee,1.1,1.4,17
LSU,1,1,18
Florida St.,1,0.8,18
Memphis,1,-0.2,18
Nevada,0.9,0.4,18
Norfolk St.,0.9,0.9,18
UMBC,0.9,0.9,18
Texas A&M,0.8,1.6,18
Mercer,0.8,0.8,18
Dayton,0.8,-1.4,18
Marshall,0.7,0.8,18
Western Kentucky,0.7,0.9,18
Rhode Island,0.7,0.5,18
Washington,0.7,0.2,18
Morehead St.,0.7,0.7,18
USC,0.7,0.3,18
Liberty,0.7,0.5,18
Penn St.,0.6,0.5,18
Northwestern St.,0.6,0.7,18
Hampton,0.6,0.9,18
UC Irvine,0.5,0.5,18
Central Michigan,0.5,0.4,18
Little Rock,0.5,0.5,3
Lehigh,0.5,0.9,18
Siena,0.4,0.9,18
Cleveland St.,0.4,0.8,18
Wyoming,0.4,-0.1,18
Richmond,0.4,0.6,18
Pacific,0.4,0.5,18
Northwestern,0.4,0.3,18
Baylor,0.3,0.1,18
Indiana St.,0.3,0.1,18
VCU,0.2,0.3,18
San Diego,0.2,0.5,18
Harvard,0.2,0.6,18
Stephen F. Austin,0.1,0.5,18
South Florida,0.1,0.5,18
Bucknell,0.1,0.1,18
North Dakota St.,0.1,0.3,14
Wichita St.,0,1.4,18
Yale,0,0.3,18
UCF,0,0.2,18
Indiana,0,0.1,18
Arkansas Pine Bluff,0,0,18
North Carolina A&T,0,0,18
Delaware St.,0,0,18
Florida A&M,0,0,18
Wagner,0,-0.1,18
UT Arlington,0,0,18
Mississippi Valley St.,0,0,18
South Carolina St.,0,0,18
Fairleigh Dickinson,0,0,18
Alabama St.,0,0,18
UC Davis,0,0,15
Jackson St.,0,0,18
Lamar,0,0,18
Gardner Webb,0,0,18
Radford,0,0,18
Kansas St.,0,-0.7,18
Eastern Illinois,0,-0.1,18
Pepperdine,-0.1,-0.2,18
Abilene Christian,-0.1,-0.1,6
Lafayette,-0.1,-0.1,18
Texas Southern,-0.1,-0.1,18
Lipscomb,-0.1,-0.1,18
North Dakota,-0.1,-0.1,10
Colgate,-0.1,-0.1,18
Jacksonville St.,-0.1,-0.1,18
Manhattan,-0.1,0.1,18
Coastal Carolina,-0.1,0,18
Troy,-0.1,-0.1,15
Florida Atlantic,-0.1,-0.1,18
Cal Poly,-0.1,0,18
Loyola MD,-0.1,-0.1,18
Northern Colorado,-0.1,-0.1,15
UTSA,-0.1,0,18
Binghamton,-0.1,-0.1,18
Detroit,-0.1,-0.1,18
James Madison,-0.1,0,18
IUPUI,-0.1,0,18
Boise St.,-0.1,-0.2,18
Buffalo,-0.1,0,18
Northern Kentucky,-0.1,-0.2,7
Mount St. Mary's,-0.1,0,18
Samford,-0.2,-0.3,18
Appalachian St.,-0.2,-0.2,18
Southern Illinois,-0.2,0.1,18
Boston University,-0.2,0,18
Colorado St.,-0.2,-0.5,18
Robert Morris,-0.2,-0.1,18
Cal St. Bakersfield,-0.2,-0.1,12
Texas A&M Corpus Chris,-0.2,-0.1,18
Delaware,-0.2,-0.3,18
Southern,-0.2,0,18
Green Bay,-0.2,-0.2,18
North Texas,-0.2,-0.1,18
Morgan St.,-0.2,-0.1,18
Southeastern Louisiana,-0.2,-0.1,18
Stony Brook,-0.2,-0.3,18
Saint Peter's,-0.2,-0.2,18
Southeast Missouri St.,-0.2,-0.3,18
Southern Utah,-0.2,-0.2,18
Monmouth,-0.2,-0.1,18
Alabama,-0.2,-0.6,18
College of Charleston,-0.2,-0.3,17
Tennessee,-0.2,-0.2,18
Northern Arizona,-0.3,-0.1,18
Fresno St.,-0.3,-0.4,18
UNC Greensboro,-0.3,-0.3,18
Cal St. Fullerton,-0.3,-0.2,18
DePaul,-0.3,-0.5,18
