Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner
2002,PI,16,Siena,81,16,Alcorn St.,77,Siena
2002,1,4,USC,89,13,UNC Wilmington,93,UNC Wilmington
2002,1,5,Marquette,69,12,Tulsa,71,Tulsa
2002,1,12,Missouri,93,5,Miami FL,80,Missouri
2002,1,6,Gonzaga,66,11,Wyoming,73,Wyoming
2002,1,4,Kentucky,83,13,Valparaiso,68,Kentucky
2002,1,1,Kansas,70,16,Holy Cross,59,Kansas
2002,1,2,Oregon,81,15,Montana,62,Oregon
2002,1,7,Wake Forest,83,10,Pepperdine,74,Wake Forest
2002,1,8,Stanford,84,9,Western Kentucky,68,Stanford
2002,1,1,Duke,84,16,Winthrop,37,Duke
2002,1,2,Alabama,86,15,Florida Atlantic,78,Alabama
2002,1,5,Indiana,75,12,Utah,56,Indiana
2002,1,8,Notre Dame,82,9,Charlotte,63,Notre Dame
2002,1,3,Arizona,86,14,UC Santa Barbara,81,Arizona
2002,1,4,Ohio St.,69,13,Davidson,64,Ohio St.
2002,1,10,Kent St.,69,7,Oklahoma St.,61,Kent St.
2002,1,5,Florida,82,12,Creighton,83,Creighton
2002,1,6,Texas Tech,68,11,Southern Illinois,76,Southern Illinois
2002,1,1,Maryland,85,16,Siena,70,Maryland
2002,1,2,Connecticut,78,15,Hampton,67,Connecticut
2002,1,3,Georgia,85,14,Murray St.,68,Georgia
2002,1,7,North Carolina St.,69,10,Michigan St.,58,North Carolina St.
2002,1,8,Wisconsin,80,9,St. John's,70,Wisconsin
2002,1,3,Mississippi St.,70,14,McNeese St.,58,Mississippi St.
2002,1,4,Illinois,93,13,San Diego St.,64,Illinois
2002,1,6,Texas,70,11,Boston College,57,Texas
2002,1,3,Pittsburgh,71,14,Central Connecticut,54,Pittsburgh
2002,1,6,California,82,11,Penn,75,California
2002,1,1,Cincinnati,90,16,Boston University,52,Cincinnati
2002,1,2,Oklahoma,71,15,Illinois Chicago,63,Oklahoma
2002,1,7,Xavier,70,10,Hawaii,58,Xavier
2002,1,9,Mississippi,58,8,UCLA,80,UCLA
2002,2,10,Kent St.,71,2,Alabama,58,Kent St.
2002,2,4,Ohio St.,67,12,Missouri,83,Missouri
2002,2,4,Kentucky,87,12,Tulsa,82,Kentucky
2002,2,1,Kansas,86,8,Stanford,63,Kansas
2002,2,2,Oregon,92,7,Wake Forest,87,Oregon
2002,2,1,Duke,84,8,Notre Dame,77,Duke
2002,2,5,Indiana,76,13,UNC Wilmington,67,Indiana
2002,2,3,Arizona,68,11,Wyoming,60,Arizona
2002,2,3,Georgia,75,11,Southern Illinois,77,Southern Illinois
2002,2,1,Cincinnati,101,8,UCLA,105,UCLA
2002,2,1,Maryland,87,8,Wisconsin,57,Maryland
2002,2,2,Connecticut,77,7,North Carolina St.,74,Connecticut
2002,2,4,Illinois,72,12,Creighton,60,Illinois
2002,2,3,Pittsburgh,63,6,California,50,Pittsburgh
2002,2,2,Oklahoma,78,7,Xavier,65,Oklahoma
2002,2,3,Mississippi St.,64,6,Texas,68,Texas
2002,3,10,Kent St.,78,3,Pittsburgh,73,Kent St.
2002,3,1,Duke,73,5,Indiana,74,Indiana
2002,3,12,Missouri,82,8,UCLA,73,Missouri
2002,3,2,Oklahoma,88,3,Arizona,67,Oklahoma
2002,3,1,Maryland,78,4,Kentucky,68,Maryland
2002,3,2,Connecticut,71,11,Southern Illinois,59,Connecticut
2002,3,1,Kansas,73,4,Illinois,69,Kansas
2002,3,2,Oregon,72,6,Texas,70,Oregon
2002,4,5,Indiana,81,10,Kent St.,69,Indiana
2002,4,2,Oklahoma,81,12,Missouri,75,Oklahoma
2002,4,1,Maryland,90,2,Connecticut,82,Maryland
2002,4,1,Kansas,104,2,Oregon,86,Kansas
2002,5,1,Maryland,97,1,Kansas,88,Maryland
2002,5,2,Oklahoma,64,5,Indiana,73,Indiana
2002,6,1,Maryland,64,5,Indiana,52,Maryland
2003,PI,16,Texas Southern,84,16,UNC Asheville,92,UNC Asheville
2003,1,4,Dayton,71,13,Tulsa,84,Tulsa
2003,1,6,Creighton,73,11,Central Michigan,79,Central Michigan
2003,1,1,Oklahoma,71,16,South Carolina St.,54,Oklahoma
2003,1,8,California,76,9,North Carolina St.,74,California
2003,1,3,Marquette,72,14,Holy Cross,68,Marquette
2003,1,5,Wisconsin,81,12,Weber St.,74,Wisconsin
2003,1,6,Missouri,72,11,Southern Illinois,71,Missouri
2003,1,4,Stanford,77,13,San Diego,69,Stanford
2003,1,5,Connecticut,58,12,BYU,53,Connecticut
2003,1,1,Arizona,80,16,Vermont,51,Arizona
2003,1,2,Kansas,64,15,Utah St.,61,Kansas
2003,1,3,Duke,67,14,Colorado St.,57,Duke
2003,1,4,Illinois,65,13,Western Kentucky,60,Illinois
2003,1,5,Notre Dame,70,12,Milwaukee,69,Notre Dame
2003,1,7,Memphis,71,10,Arizona St.,84,Arizona St.
2003,1,9,Gonzaga,74,8,Cincinnati,69,Gonzaga
2003,1,5,Mississippi St.,46,12,Butler,47,Butler
2003,1,2,Wake Forest,76,15,East Tennessee St.,73,Wake Forest
2003,1,3,Syracuse,76,14,Manhattan,65,Syracuse
2003,1,4,Louisville,86,13,Austin Peay,64,Louisville
2003,1,6,Oklahoma St.,77,11,Penn,63,Oklahoma St.
2003,1,1,Kentucky,95,16,IUPUI,64,Kentucky
2003,1,2,Pittsburgh,87,15,Wagner,61,Pittsburgh
2003,1,10,Alabama,62,7,Indiana,67,Indiana
2003,1,1,Texas,82,16,UNC Asheville,61,Texas
2003,1,2,Florida,85,15,Sam Houston St.,55,Florida
2003,1,3,Xavier,71,14,Troy,59,Xavier
2003,1,6,Maryland,75,11,UNC Wilmington,73,Maryland
2003,1,7,Michigan St.,79,10,Colorado,64,Michigan St.
2003,1,7,Saint Joseph's,63,10,Auburn,65,Auburn
2003,1,8,Oregon,58,9,Utah,60,Utah
2003,1,8,LSU,56,9,Purdue,80,Purdue
2003,2,1,Oklahoma,74,8,California,65,Oklahoma
2003,2,3,Marquette,101,6,Missouri,92,Marquette
2003,2,5,Wisconsin,61,13,Tulsa,60,Wisconsin
2003,2,1,Arizona,96,9,Gonzaga,95,Arizona
2003,2,2,Kansas,108,10,Arizona St.,76,Kansas
2003,2,3,Duke,86,11,Central Michigan,60,Duke
2003,2,5,Connecticut,85,4,Stanford,74,Connecticut
2003,2,4,Illinois,60,5,Notre Dame,68,Notre Dame
2003,2,2,Wake Forest,62,10,Auburn,68,Auburn
2003,2,4,Louisville,71,12,Butler,79,Butler
2003,2,2,Florida,46,7,Michigan St.,68,Michigan St.
2003,2,3,Syracuse,68,6,Oklahoma St.,56,Syracuse
2003,2,1,Kentucky,74,9,Utah,54,Kentucky
2003,2,2,Pittsburgh,74,7,Indiana,52,Pittsburgh
2003,2,1,Texas,77,9,Purdue,67,Texas
2003,2,6,Maryland,77,3,Xavier,64,Maryland
2003,3,1,Kentucky,63,5,Wisconsin,57,Kentucky
2003,3,1,Arizona,88,5,Notre Dame,71,Arizona
2003,3,2,Kansas,69,3,Duke,65,Kansas
2003,3,2,Pittsburgh,74,3,Marquette,77,Marquette
2003,3,1,Oklahoma,65,12,Butler,54,Oklahoma
2003,3,3,Syracuse,79,10,Auburn,78,Syracuse
2003,3,1,Texas,82,5,Connecticut,78,Texas
2003,3,6,Maryland,58,7,Michigan St.,60,Michigan St.
2003,4,1,Kentucky,69,3,Marquette,83,Marquette
2003,4,2,Kansas,78,1,Arizona,75,Kansas
2003,4,1,Texas,85,7,Michigan St.,76,Texas
2003,4,3,Syracuse,63,1,Oklahoma,47,Syracuse
2003,5,2,Kansas,94,3,Marquette,61,Kansas
2003,5,1,Texas,84,3,Syracuse,95,Syracuse
2003,6,2,Kansas,78,3,Syracuse,81,Syracuse
2004,PI,16,Lehigh,57,16,Florida A&M,72,Florida A&M
2004,1,5,Florida,60,12,Manhattan,75,Manhattan
2004,1,1,Saint Joseph's,82,16,Liberty,63,Saint Joseph's
2004,1,4,Wake Forest,79,13,VCU,78,Wake Forest
2004,1,8,Texas Tech,76,9,Charlotte,73,Texas Tech
2004,1,2,Gonzaga,76,15,Valparaiso,49,Gonzaga
2004,1,1,Duke,96,16,Alabama St.,61,Duke
2004,1,3,Texas,66,14,Princeton,49,Texas
2004,1,6,North Carolina,63,11,Air Force,52,North Carolina
2004,1,8,Seton Hall,80,9,Arizona,76,Seton Hall
2004,1,1,Stanford,71,16,UTSA,45,Stanford
2004,1,2,Connecticut,70,15,Vermont,53,Connecticut
2004,1,4,Maryland,86,13,UTEP,83,Maryland
2004,1,5,Syracuse,80,12,BYU,75,Syracuse
2004,1,7,DePaul,76,10,Dayton,69,DePaul
2004,1,8,Alabama,65,9,Southern Illinois,64,Alabama
2004,1,10,Nevada,72,7,Michigan St.,66,Nevada
2004,1,5,Providence,58,12,Pacific,66,Pacific
2004,1,2,Oklahoma St.,75,15,Eastern Washington,56,Oklahoma St.
2004,1,3,Pittsburgh,53,14,UCF,44,Pittsburgh
2004,1,6,Wisconsin,76,11,Richmond,64,Wisconsin
2004,1,7,Memphis,59,10,South Carolina,43,Memphis
2004,1,1,Kentucky,96,16,Florida A&M,76,Kentucky
2004,1,3,Georgia Tech,65,14,Northern Iowa,60,Georgia Tech
2004,1,4,Kansas,78,13,Illinois Chicago,53,Kansas
2004,1,6,Boston College,58,11,Utah,51,Boston College
2004,1,2,Mississippi St.,85,15,Monmouth,52,Mississippi St.
2004,1,4,Cincinnati,80,13,East Tennessee St.,77,Cincinnati
2004,1,5,Illinois,72,12,Murray St.,53,Illinois
2004,1,10,Louisville,70,7,Xavier,80,Xavier
2004,1,3,North Carolina St.,61,14,Lafayette,52,North Carolina St.
2004,1,3,North Carolina St.,61,14,Lafayette,52,North Carolina St.
2004,1,6,Vanderbilt,71,11,Western Michigan,58,Vanderbilt
2004,1,9,UAB,102,8,Washington,100,UAB
2004,2,2,Gonzaga,72,10,Nevada,91,Nevada
2004,2,1,Stanford,67,8,Alabama,70,Alabama
2004,2,1,Saint Joseph's,70,8,Texas Tech,65,Saint Joseph's
2004,2,4,Wake Forest,84,12,Manhattan,80,Wake Forest
2004,2,1,Duke,90,8,Seton Hall,62,Duke
2004,2,6,North Carolina,75,3,Texas,78,Texas
2004,2,2,Connecticut,72,7,DePaul,55,Connecticut
2004,2,4,Maryland,70,5,Syracuse,72,Syracuse
2004,2,1,Kentucky,75,9,UAB,76,UAB
