Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner,PAKE.d,PASE.d,G.d,W.d,L.d,W.L..d,SRS.d,SOS.d,CW.d,CL.d,HW.d,HL.d,CW2.d,CL3.d,TmP.d,OppP.d,MP.d,FG.d,FGA.d,FG..d,X3P.d,X3PA.d,X3P..d,FT.d,FTA.d,FT..d,ORB.d,TRB.d,AST.d,STL.d,BLK.d,TOV.d,PF.d,AdjEM.d,AdjO.d,AdjD.d,AdjT.d,Luck.d,SoS.AdjEM.d,OppO.d,OppD.d,NCSOS.AdjEM.d
2002,PI,16,Siena,81,16,Alcorn St.,77,Siena,,,5,-4,9,-0.205,8.54,10.47,-7,7,1,5,-5,2,44,108,,-47,109,-0.048,77,264,-0.032,61,-23,0.1,-51,118,-31,-59,24,12,,7.5,0.7,-6.8,-6.5,-0.167,10.39,5.1,-5.4,-3.01
2002,1,4,USC,89,13,UNC Wilmington,93,UNC Wilmington,2.3,1.6,-1,-1,0,-0.009,10.34,8.4,-2,2,2,0,0,-1,254,198,-35,125,260,0.006,-20,-12,-0.026,24,31,0.003,81,95,51,13,25,-14,,9.35,5.4,-4,6.2,-0.048,8.47,6,-2.5,-2.67
2002,1,5,Marquette,69,12,Tulsa,71,Tulsa,-2.4,-4,-1,-1,0,-0.006,4.5,2.47,-2,0,3,-3,-5,4,-313,-359,-45,-90,-175,-0.004,-86,-183,-0.026,-47,-4,-0.061,47,-44,-124,10,-40,19,,5.88,-2.6,-8.5,-4.9,0.005,3.38,1.8,-1.6,-1.43
2002,1,12,Missouri,93,5,Miami FL,80,Missouri,-0.3,1.5,4,0,4,-0.083,1.23,1.29,-1,1,1,1,-1,2,482,454,,213,351,0.028,90,150,0.046,-34,31,-0.081,147,241,14,-21,-36,51,,1.72,5.7,4,1,-0.027,2.17,3,0.7,4.64
2002,1,6,Gonzaga,66,11,Wyoming,73,Wyoming,1.8,1.6,2,7,-5,0.169,5.28,-1.98,2,-2,-1,-1,5,-4,353,68,,112,186,0.014,105,166,0.091,24,-7,0.034,31,125,104,-23,-23,9,,7.5,7.8,0.4,-0.5,0.017,-2.39,-1.8,0.6,9.51
2002,1,4,Kentucky,83,13,Valparaiso,68,Kentucky,10.2,9.9,-1,-3,2,-0.07,9.77,13.23,-2,4,1,2,-3,-1,-104,3,,12,32,-0.001,-56,-93,-0.034,-72,-116,0.009,44,41,-99,-82,17,23,,8.58,1.9,-6.6,-0.7,0.003,14.63,7.2,-7.5,4.7
2002,1,1,Kansas,70,16,Holy Cross,59,Kansas,5.6,0.3,4,15,-11,0.347,26,14.45,7,-5,4,-3,5,-7,1282,797,,565,776,0.1,76,97,0.081,76,76,0.027,137,462,329,99,107,132,,29.23,20.6,-8.7,15.1,0.07,17.06,10.8,-6.3,11.7
2002,1,2,Oregon,81,15,Montana,62,Oregon,7.1,6.2,4,10,-6,0.227,23.87,8.64,7,-3,8,-4,1,-1,776,275,,254,412,0.032,91,125,0.065,177,140,0.096,78,233,128,97,-6,18,,27.48,16.8,-10.6,2.6,-0.094,10.1,4.9,-5.3,-3.74
2002,1,7,Wake Forest,83,10,Pepperdine,74,Wake Forest,-3.4,-4,3,-1,4,-0.092,6.66,6.92,-4,6,2,2,-2,1,270,301,,95,104,0.023,7,20,-0.001,73,80,0.021,28,133,108,-9,-19,48,,5.63,7.5,2,-2.9,-0.055,7.28,3.4,-3.8,-6.09
2002,1,8,Stanford,84,9,Western Kentucky,68,Stanford,-4.1,-6,-2,-8,6,-0.208,6.57,9.31,-1,5,-4,3,-3,2,-71,111,-80,-54,-61,-0.014,-72,-126,-0.04,109,155,0.001,36,25,-21,-76,24,-47,,5.81,6.1,0.3,2,-0.08,10.1,7.1,-3,1.82
