"Year","Round","Fseed","Favored","Fscore","Useed","Underdog","Uscore","Winner","PAKE.x","PASE.x","Season.x","NCAA.x","G.x","W.x","L.x","W.L..x","SRS.x","SOS.x","CW.x","CL.x","HW.x","HL.x","CW2.x","CL3.x","TmP.x","OppP.x","MP.x","FG.x","FGA.x","FG..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","AdjEM.x","AdjO.x","AdjD.x","AdjT.x","Luck.x","SoS.AdjEM.x","OppO.x","OppD.x","NCSOS.AdjEM.x","PAKE.y","PASE.y","Season.y","NCAA.y","G.y","W.y","L.y","W.L..y","SRS.y","SOS.y","CW.y","CL.y","HW.y","HL.y","CW2.y","CL3.y","TmP.y","OppP.y","MP.y","FG.y","FGA.y","FG..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","AdjEM.y","AdjO.y","AdjD.y","AdjT.y","Luck.y","SoS.AdjEM.y","OppO.y","OppD.y","NCSOS.AdjEM.y"
2002,"PI",16,"Siena",81,16,"Alcorn St.",77,"Siena",0.4,0.9,"2001-02","NCAAT",36,17,19,0.472,-2.74,-3.71,9,9,12,5,3,11,2517,2482,1480,853,2044,0.417,250,722,0.346,561,754,0.744,402,1361,465,199,149,550,NA,-1.21,100.8,102,66.5,-0.07,-4.14,100.1,104.2,-0.42,NA,NA,"2001-02","NCAAT",31,21,10,0.677,-11.28,-14.18,16,2,11,0,8,9,2473,2374,NA,900,1935,0.465,173,458,0.378,500,777,0.644,453,1243,496,258,125,538,NA,-8.71,100.1,108.8,73,0.097,-14.53,95,109.6,2.59
2002,"1",4,"USC",89,13,"UNC Wilmington",93,"UNC Wilmington",0.7,0.3,"2001-02","NCAAT",32,22,10,0.688,16.49,8.31,12,6,13,2,9,6,2494,2232,1295,909,2063,0.441,201,580,0.347,475,686,0.692,455,1231,504,287,129,389,NA,20.67,112.8,92.1,70.1,-0.051,9.3,109.2,99.9,1.89,-1.6,-1.3,"2001-02","NCAAT",33,23,10,0.697,6.15,-0.09,14,4,11,2,9,7,2240,2034,1330,784,1803,0.435,221,592,0.373,451,655,0.689,374,1136,453,274,104,403,NA,11.32,107.4,96.1,63.9,-0.003,0.83,103.2,102.4,4.56
2002,"1",5,"Marquette",69,12,"Tulsa",71,"Tulsa",-0.5,-0.9,"2001-02","NCAAT",33,26,7,0.788,17.16,4.77,13,3,16,0,5,6,2413,2004,1320,871,1841,0.473,173,456,0.379,498,720,0.692,420,1170,462,279,113,455,NA,21.47,113.4,91.9,64.6,0.006,5.41,105.5,100.1,-2.87,1.9,3.1,"2001-02","NCAAT",34,27,7,0.794,12.66,2.3,15,3,13,3,10,2,2726,2363,1365,961,2016,0.477,259,639,0.405,545,724,0.753,373,1214,586,269,153,436,NA,15.59,116,100.4,69.5,0.001,2.03,103.7,101.7,-1.44
2002,"1",12,"Missouri",93,5,"Miami FL",80,"Missouri",-0.7,-0.6,"2001-02","NCAAT",36,24,12,0.667,14.22,6.81,9,7,14,3,4,6,2877,2610,NA,1031,2253,0.458,326,834,0.391,489,709,0.69,535,1415,539,264,154,511,NA,17.49,116.2,98.7,70.1,-0.01,7.92,108,100,-0.39,-0.4,-2.1,"2001-02","NCAAT",32,24,8,0.75,12.99,5.52,10,6,13,2,5,4,2395,2156,1300,818,1902,0.43,236,684,0.345,523,678,0.771,388,1174,525,285,190,460,NA,15.77,110.5,94.7,69.1,0.017,5.75,105,99.3,-5.03
2002,"1",6,"Gonzaga",66,11,"Wyoming",73,"Wyoming",2.2,1.5,"2001-02","NCAAT",33,29,4,0.879,13.9,0.74,13,1,13,0,11,2,2677,2197,NA,907,1931,0.47,237,606,0.391,626,855,0.732,425,1370,522,189,113,458,NA,18.51,115.6,97.1,68.5,0.049,1.12,103.7,102.6,4.04,0.4,-0.1,"2001-02","NCAAT",31,22,9,0.71,8.62,2.72,11,3,14,1,6,6,2324,2129,NA,795,1745,0.456,132,440,0.3,602,862,0.698,394,1245,418,212,136,449,NA,11.01,107.8,96.7,69,0.032,3.51,105.5,102,-5.47
2002,"1",4,"Kentucky",83,13,"Valparaiso",68,"Kentucky",8.7,9.2,"2001-02","NCAAT",32,22,10,0.688,19.15,11.99,10,6,12,3,5,4,2460,2183,NA,905,2021,0.448,219,692,0.316,431,638,0.676,492,1283,471,252,153,460,NA,22.21,113.4,91.2,68,-0.029,12.97,110.1,97.1,6.75,-1.5,-0.7,"2001-02","NCAAT",33,25,8,0.758,9.38,-1.24,12,2,11,1,8,5,2564,2180,1325,893,1989,0.449,275,785,0.35,503,754,0.667,448,1242,570,334,136,437,NA,13.63,111.5,97.8,68.7,-0.032,-1.66,102.9,104.6,2.05
2002,"1",1,"Kansas",70,16,"Holy Cross",59,"Kansas",4.7,-0.2,"2001-02","NCAAT",37,33,4,0.892,24.38,9.35,16,0,13,0,11,1,3365,2765,NA,1259,2487,0.506,224,536,0.418,623,867,0.719,557,1638,767,357,210,602,NA,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,-0.9,-0.5,"2001-02","NCAAT",33,18,15,0.545,-1.62,-5.1,9,5,9,3,6,8,2083,1968,1325,694,1711,0.406,148,439,0.337,547,791,0.692,420,1176,438,258,103,470,NA,-0.24,98.1,98.4,62.2,-0.048,-6.4,99.5,105.9,-3.38
2002,"1",2,"Oregon",81,15,"Montana",62,"Oregon",6.5,5.7,"2001-02","NCAAT",35,26,9,0.743,19.67,6.93,14,4,17,0,5,7,2994,2538,NA,1014,2082,0.487,304,721,0.422,662,861,0.769,384,1280,580,261,114,482,NA,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3,-0.6,-0.5,"2001-02","NCAAT",31,16,15,0.516,-4.2,-1.71,7,7,9,4,4,8,2218,2263,1240,760,1670,0.455,213,596,0.357,485,721,0.673,306,1047,452,164,120,464,NA,-4.51,102.4,106.9,68.5,0.053,-1.95,103.2,105.2,0.44
2002,"1",7,"Wake Forest",83,10,"Pepperdine",74,"Wake Forest",-3.5,-4.2,"2001-02","NCAAT",34,21,13,0.618,15.25,10.28,9,7,13,3,5,7,2789,2620,NA,1001,2094,0.478,240,655,0.366,547,741,0.738,438,1309,553,220,140,497,NA,17.35,118.6,101.3,69.5,0.006,11.24,109.1,97.9,5.85,-0.1,-0.2,"2001-02","NCAAT",31,22,9,0.71,8.59,3.36,13,1,11,1,7,6,2519,2319,1265,906,1990,0.455,233,635,0.367,474,661,0.717,410,1176,445,229,159,449,NA,11.72,111.1,99.3,72.4,0.061,3.96,105.7,101.7,11.94
2002,"1",8,"Stanford",84,9,"Western Kentucky",68,"Stanford",-3.4,-5.1,"2001-02","NCAAT",30,20,10,0.667,17.03,9.03,12,6,10,3,7,5,2420,2180,1215,822,1823,0.451,207,608,0.34,569,813,0.7,446,1254,480,152,130,409,NA,20.32,116.6,96.3,69.5,-0.02,10.33,110.2,99.8,2.11,0.7,0.9,"2001-02","NCAAT",32,28,4,0.875,10.46,-0.28,13,1,14,0,10,3,2491,2069,1295,876,1884,0.465,279,734,0.38,460,658,0.699,410,1229,501,228,106,456,NA,14.51,110.5,96,67.5,0.06,0.23,103.1,102.8,0.29
