"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","AdjEM.x","AdjO.x","AdjD.x","AdjT.x","Luck.x","SoS.AdjEM.x","OppO.x","OppD.x","NCSOS.AdjEM.x","AdjEM.y","AdjO.y","AdjD.y","AdjT.y","Luck.y","SoS.AdjEM.y","OppO.y","OppD.y","NCSOS.AdjEM.y"
2002,"PI",16,"Siena",81,16,"Alcorn St.",77,-1.21,100.8,102,66.5,-0.07,-4.14,100.1,104.2,-0.42,-8.71,100.1,108.8,73,0.097,-14.53,95,109.6,2.59
2002,"1",13,"UNC Wilmington",93,4,"USC",89,11.32,107.4,96.1,63.9,-0.003,0.83,103.2,102.4,4.56,20.67,112.8,92.1,70.1,-0.051,9.3,109.2,99.9,1.89
2002,"1",12,"Tulsa",71,5,"Marquette",69,15.59,116,100.4,69.5,0.001,2.03,103.7,101.7,-1.44,21.47,113.4,91.9,64.6,0.006,5.41,105.5,100.1,-2.87
2002,"1",12,"Missouri",93,5,"Miami FL",80,17.49,116.2,98.7,70.1,-0.01,7.92,108,100,-0.39,15.77,110.5,94.7,69.1,0.017,5.75,105,99.3,-5.03
2002,"1",11,"Wyoming",73,6,"Gonzaga",66,11.01,107.8,96.7,69,0.032,3.51,105.5,102,-5.47,18.51,115.6,97.1,68.5,0.049,1.12,103.7,102.6,4.04
2002,"1",4,"Kentucky",83,13,"Valparaiso",68,22.21,113.4,91.2,68,-0.029,12.97,110.1,97.1,6.75,13.63,111.5,97.8,68.7,-0.032,-1.66,102.9,104.6,2.05
2002,"1",1,"Kansas",70,16,"Holy Cross",59,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,-0.24,98.1,98.4,62.2,-0.048,-6.4,99.5,105.9,-3.38
2002,"1",2,"Oregon",81,15,"Montana",62,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3,-4.51,102.4,106.9,68.5,0.053,-1.95,103.2,105.2,0.44
2002,"1",7,"Wake Forest",83,10,"Pepperdine",74,17.35,118.6,101.3,69.5,0.006,11.24,109.1,97.9,5.85,11.72,111.1,99.3,72.4,0.061,3.96,105.7,101.7,11.94
2002,"1",8,"Stanford",84,9,"Western Kentucky",68,20.32,116.6,96.3,69.5,-0.02,10.33,110.2,99.8,2.11,14.51,110.5,96,67.5,0.06,0.23,103.1,102.8,0.29
2002,"1",1,"Duke",84,16,"Winthrop",37,34.19,121,86.8,74.5,-0.027,9.87,109.1,99.2,6.66,-5.31,97.3,102.6,65.9,0.038,-10.73,97,107.7,-0.98
2002,"1",2,"Alabama",86,15,"Florida Atlantic",78,18.73,114,95.3,68,0.076,8.59,107.1,98.5,-1.56,-2.5,99.6,102.1,70.2,0.06,-4.94,101.9,106.9,-4.52
2002,"1",5,"Indiana",75,12,"Utah",56,24.8,114,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,14.08,111.4,97.3,62.1,0.01,5.38,106.2,100.8,1.57
2002,"1",8,"Notre Dame",82,9,"Charlotte",63,19.27,116.1,96.8,68.6,-0.087,7.33,105.4,98.1,-1.55,15.73,114.2,98.5,66.8,-0.008,9.23,107.3,98.1,6.48
2002,"1",3,"Arizona",86,14,"UC Santa Barbara",81,20.54,119.3,98.8,71.1,0.079,14.22,111.3,97.1,17.56,8.87,108.2,99.3,63.4,-0.058,0.45,103.1,102.6,3.37
2002,"1",4,"Ohio St.",69,13,"Davidson",64,19.76,116.4,96.6,66.8,0.005,7.51,106.6,99.1,-1.26,3.7,101.5,97.8,65.1,0.142,1.8,104.2,102.4,9.42
2002,"1",10,"Kent St.",69,7,"Oklahoma St.",61,20.39,116.7,96.4,64.7,0.008,3.11,106,102.9,2.99,15.8,107.9,92.1,66,0.047,7.11,107.8,100.7,0.53
