Date,Year,Round,Region,Game #,W.Seed,Winner,W. Score,L. Seed,Loser,L.Score
3/14/1985,1985,1,NW,1,1,St. John's,83,16,Southern,59
3/14/1985,1985,1,NW,2,9,Arkansas,63,8,Iowa,54
3/14/1985,1985,1,NW,3,12,Kentucky,66,5,Washington,58
3/14/1985,1985,1,NW,4,4,UNLV,85,13,San Diego St.,80
3/15/1985,1985,1,NW,5,11,UTEP,79,6,Tulsa,75
3/15/1985,1985,1,NW,6,3,North Carolina St.,65,14,Nevada,56
3/15/1985,1985,1,NW,7,7,Alabama,50,10,Arizona,41
3/15/1985,1985,1,NW,8,2,VCU,81,15,Marshall,65
3/14/1985,1985,1,SW,9,1,Georgetown,68,16,Lehigh,43
3/14/1985,1985,1,SW,10,8,Temple,60,9,Virginia Tech,57
3/14/1985,1985,1,SW,11,5,SMU,85,12,Old Dominion,68
3/14/1985,1985,1,SW,12,4,Loyola Chicago,59,13,Iona,58
3/15/1985,1985,1,SW,13,6,Georgia,67,11,Wichita St.,59
3/15/1985,1985,1,SW,14,3,Illinois,76,14,Northeastern,57
3/15/1985,1985,1,SW,15,7,Syracuse,70,10,DePaul,65
3/15/1985,1985,1,SW,16,2,Georgia Tech,65,15,Mercer,58
3/14/1985,1985,1,NE,17,1,Oklahoma,96,16,North Carolina A&T,83
3/14/1985,1985,1,NE,18,9,Illinois St.,58,8,USC,55
3/14/1985,1985,1,NE,19,5,Louisiana Tech,78,12,Pittsburgh,54
3/14/1985,1985,1,NE,20,4,Ohio St.,75,13,Iowa St.,64
3/15/1985,1985,1,NE,21,11,Boston College,55,6,Texas Tech,53
3/15/1985,1985,1,NE,22,3,Duke,75,14,Pepperdine,62
3/15/1985,1985,1,NE,23,7,UAB,70,10,Michigan St.,68
3/15/1985,1985,1,NE,24,2,Memphis,67,15,Penn,55
3/15/1985,1985,1,SE,25,1,Michigan,59,16,Fairleigh Dickinson,55
3/15/1985,1985,1,SE,26,8,Villanova,51,9,Dayton,49
3/15/1985,1985,1,SE,27,5,Maryland,69,12,Miami OH,68
3/15/1985,1985,1,SE,28,13,Navy,78,4,LSU,55
3/14/1985,1985,1,SE,29,11,Auburn,59,6,Purdue,58
3/14/1985,1985,1,SE,30,3,Kansas,49,14,Ohio,38
3/14/1985,1985,1,SE,31,7,Notre Dame,79,10,Oregon St.,70
3/14/1985,1985,1,SE,32,2,North Carolina,76,15,Middle Tennessee,57
3/16/1985,1985,2,NW,33,1,St. John's,68,9,Arkansas,65
3/16/1985,1985,2,NW,34,12,Kentucky,64,4,UNLV,61
3/17/1985,1985,2,NW,35,3,North Carolina St.,86,11,UTEP,73
3/17/1985,1985,2,NW,36,7,Alabama,63,2,VCU,59
3/16/1985,1985,2,SW,37,1,Georgetown,63,8,Temple,46
3/16/1985,1985,2,SW,38,4,Loyola Chicago,70,5,SMU,57
3/17/1985,1985,2,SW,39,3,Illinois,74,6,Georgia,58
3/17/1985,1985,2,SW,40,2,Georgia Tech,70,7,Syracuse,53
3/16/1985,1985,2,NE,41,1,Oklahoma,75,9,Illinois St.,69
3/16/1985,1985,2,NE,42,5,Louisiana Tech,79,4,Ohio St.,67
3/17/1985,1985,2,NE,43,11,Boston College,74,3,Duke,73
3/17/1985,1985,2,NE,44,2,Memphis,67,7,UAB,66
3/17/1985,1985,2,SE,45,8,Villanova,59,1,Michigan,55
3/17/1985,1985,2,SE,46,5,Maryland,64,13,Navy,59
3/16/1985,1985,2,SE,47,11,Auburn,66,3,Kansas,64
3/16/1985,1985,2,SE,48,2,North Carolina,60,7,Notre Dame,58
3/22/1985,1985,3,NW,49,1,St. John's,86,12,Kentucky,70
3/22/1985,1985,3,NW,50,3,North Carolina St.,61,7,Alabama,55
3/21/1985,1985,3,SW,51,1,Georgetown,65,4,Loyola Chicago,53
3/21/1985,1985,3,SW,52,2,Georgia Tech,61,3,Illinois,53
3/21/1985,1985,3,NE,53,1,Oklahoma,86,5,Louisiana Tech,84
3/21/1985,1985,3,NE,54,2,Memphis,59,11,Boston College,57
3/22/1985,1985,3,SE,55,8,Villanova,46,5,Maryland,43
3/22/1985,1985,3,SE,56,2,North Carolina,62,11,Auburn,56
3/24/1985,1985,4,NW,57,1,St. John's,69,3,North Carolina St.,60
3/23/1985,1985,4,SW,58,1,Georgetown,60,2,Georgia Tech,54
3/23/1985,1985,4,NE,59,2,Memphis,63,1,Oklahoma,61
3/24/1985,1985,4,SE,60,8,Villanova,56,2,North Carolina,44
3/30/1985,1985,5,F4,61,1,Georgetown,77,1,St. John's,59
3/30/1985,1985,5,F4,62,8,Villanova,52,2,Memphis,45
4/1/1985,1985,6,Champ,63,8,Villanova,66,1,Georgetown,64
3/14/1986,1986,1,NW,1,1,Kentucky,75,16,Davidson,55
3/14/1986,1986,1,NW,2,8,Western Kentucky,67,9,Nebraska,59
3/14/1986,1986,1,NW,3,5,Alabama,97,12,Xavier,80
3/14/1986,1986,1,NW,4,4,Illinois,75,13,Fairfield,51
3/13/1986,1986,1,NW,5,11,LSU,94,6,Purdue,87
3/13/1986,1986,1,NW,6,3,Memphis,95,14,Ball St.,63
3/13/1986,1986,1,NW,7,10,Villanova,71,7,Virginia Tech,62
3/13/1986,1986,1,NW,8,2,Georgia Tech,68,15,Marist,53
3/14/1986,1986,1,SW,9,1,St. John's,83,16,Montana St.,74
3/14/1986,1986,1,SW,10,8,Auburn,73,9,Arizona,63
3/14/1986,1986,1,SW,11,5,Maryland,69,12,Pepperdine,64
3/14/1986,1986,1,SW,12,4,UNLV,74,13,Louisiana Monroe,51
3/13/1986,1986,1,SW,13,6,UAB,66,11,Missouri,64
3/13/1986,1986,1,SW,14,3,North Carolina,84,14,Utah,72
3/13/1986,1986,1,SW,15,7,Bradley,83,10,UTEP,65
3/13/1986,1986,1,SW,16,2,Louisville,93,15,Drexel,73
3/13/1986,1986,1,NE,17,1,Duke,85,16,Mississippi Valley St.,78
3/13/1986,1986,1,NE,18,8,Old Dominion,72,9,West Virginia,64
3/13/1986,1986,1,NE,19,12,DePaul,72,5,Virginia,68
3/13/1986,1986,1,NE,20,4,Oklahoma,80,13,Northeastern,74
3/14/1986,1986,1,NE,21,6,Saint Joseph's,60,11,Richmond,59
3/14/1986,1986,1,NE,22,14,Cleveland St.,83,3,Indiana,79
3/14/1986,1986,1,NE,23,7,Navy,87,10,Tulsa,68
3/14/1986,1986,1,NE,24,2,Syracuse,101,15,Brown,52
3/13/1986,1986,1,SE,25,1,Kansas,71,16,North Carolina A&T,46
3/13/1986,1986,1,SE,26,9,Temple,61,8,Jacksonville,50
3/13/1986,1986,1,SE,27,5,Michigan St.,72,12,Washington,70
3/13/1986,1986,1,SE,28,4,Georgetown,70,13,Texas Tech,64
3/14/1986,1986,1,SE,29,6,North Carolina St.,66,11,Iowa,64
3/14/1986,1986,1,SE,30,14,Little Rock,90,3,Notre Dame,83
3/14/1986,1986,1,SE,31,7,Iowa St.,81,10,Miami OH,79
3/14/1986,1986,1,SE,32,2,Michigan,70,15,Akron,64
3/16/1986,1986,2,NW,33,1,Kentucky,71,8,Western Kentucky,64
3/16/1986,1986,2,NW,34,5,Alabama,58,4,Illinois,56
3/15/1986,1986,2,NW,35,11,LSU,83,3,Memphis,81
3/15/1986,1986,2,NW,36,2,Georgia Tech,66,10,Villanova,61
3/16/1986,1986,2,SW,37,8,Auburn,81,1,St. John's,65
3/16/1986,1986,2,SW,38,4,UNLV,70,5,Maryland,64
3/15/1986,1986,2,SW,39,3,North Carolina,77,6,UAB,59
3/15/1986,1986,2,SW,40,2,Louisville,82,7,Bradley,68
3/15/1986,1986,2,NE,41,1,Duke,89,8,Old Dominion,61
3/15/1986,1986,2,NE,42,12,DePaul,74,4,Oklahoma,69
3/16/1986,1986,2,NE,43,14,Cleveland St.,75,6,Saint Joseph's,69
3/16/1986,1986,2,NE,44,7,Navy,97,2,Syracuse,85
3/15/1986,1986,2,SE,45,1,Kansas,65,9,Temple,43
3/15/1986,1986,2,SE,46,5,Michigan St.,80,4,Georgetown,68
3/16/1986,1986,2,SE,47,6,North Carolina St.,80,14,Little Rock,66
3/16/1986,1986,2,SE,48,7,Iowa St.,72,2,Michigan,69
3/20/1986,1986,3,NW,49,1,Kentucky,68,5,Alabama,63
3/20/1986,1986,3,NW,50,11,LSU,70,2,Georgia Tech,64
3/20/1986,1986,3,SW,51,8,Auburn,70,4,UNLV,63
3/20/1986,1986,3,SW,52,2,Louisville,94,3,North Carolina,79
3/21/1986,1986,3,NE,53,1,Duke,74,12,DePaul,67
3/21/1986,1986,3,NE,54,7,Navy,71,14,Cleveland St.,70
3/21/1986,1986,3,SE,55,1,Kansas,96,5,Michigan St.,86
3/21/1986,1986,3,SE,56,6,North Carolina St.,70,7,Iowa St.,66
