,From,To,
1,Alabama-Birmingham,UAB,1
2,Alabama State,Alabama St.,1
3,Albany (NY),Albany,1
4,Alcorn State,Alcorn St.,1
5,Appalachian State,Appalachian St.,1
6,Arizona State,Arizona St.,1
7,Arkansas-Pine Bluff,Arkansas Pine Bluff,1
8,Arkansas State,Arkansas St.,1
9,Ball State,Ball St.,1
10,Bethune-Cookman,Bethune Cookman,1
11,Boise State,Boise St.,1
12,Bowling Green State,Bowling Green,1
13,Brigham Young,BYU,1
14,Cal State Bakersfield,Cal St. Bakersfield,1
15,Cal State Fullerton,Cal St. Fullerton,1
16,Cal State Long Beach,Long Beach St.,1
17,Cal State Northridge,Cal St. Northridge,1
18,California Baptist,Cal Baptist,1
19,Centenary (LA),Centenary,1
20,Central Connecticut State,Central Connecticut,1
21,Central Florida,UCF,1
22,Chicago State,Chicago St.,1
23,Citadel,The Citadel,1
24,Cleveland State,Cleveland St.,1
25,College of Charleston,Charleston,1
26,Colorado State,Colorado St.,1
27,Coppin State,Coppin St.,1
28,Delaware State,Delaware St.,1
29,Detroit Mercy,Detroit,1
30,Dixie State,Dixie St.,1
31,East Tennessee State,East Tennessee St.,1
32,Florida International,FIU,1
33,Florida State,Florida St.,1
34,Fresno State,Fresno St.,1
35,Gardner-Webb,Gardner Webb,1
36,Georgia State,Georgia St.,1
37,Grambling,Grambling St.,1
38,Idaho State,Idaho St.,1
39,Illinois-Chicago,Illinois Chicago,1
40,Illinois State,Illinois St.,1
41,Indiana State,Indiana St.,1
42,Iowa State,Iowa St.,1
43,Jackson State,Jackson St.,1
44,Jacksonville State,Jacksonville St.,1
45,Kansas State,Kansas St.,1
46,Kennesaw State,Kennesaw St.,1
47,Kent State,Kent St.,1
48,Long Island University,LIU,1
49,Louisiana-Monroe,Louisiana Monroe,1
50,Louisiana State,LSU,1
51,Loyola (IL),Loyola Chicago,1
52,Loyola (MD),Loyola MD,1
53,Maryland-Baltimore County,UMBC,1
54,Maryland-Eastern Shore,Maryland Eastern Shore,1
55,Massachusetts-Lowell,UMass Lowell,1
56,McNeese State,McNeese St.,1
57,Miami (FL),Miami FL,1
58,Miami (OH),Miami OH,1
59,Michigan State,Michigan St.,1
60,Mississippi State,Mississippi St.,1
61,Mississippi Valley State,Mississippi Valley St.,1
62,Missouri-Kansas City,UMKC,1
63,Missouri State,Missouri St.,1
64,Montana State,Montana St.,1
65,Morehead State,Morehead St.,1
66,Morgan State,Morgan St.,1
67,Murray State,Murray St.,1
68,Nevada-Las Vegas,UNLV,1
69,New Mexico State,New Mexico St.,1
70,Nicholls State,Nicholls St.,1
71,Norfolk State,Norfolk St.,1
72,North Carolina-Asheville,UNC Asheville,1
73,North Carolina-Greensboro,UNC Greensboro,1
74,North Carolina-Wilmington,UNC Wilmington,1
75,North Carolina State,North Carolina St.,1
76,North Dakota State,North Dakota St.,1
77,Northwestern State,Northwestern St.,1
78,Ohio State,Ohio St.,1
79,Oklahoma State,Oklahoma St.,1
80,Omaha,Nebraska Omaha,1
81,Oregon State,Oregon St.,1
82,Penn State,Penn St.,1
83,Pennsylvania,Penn,1
84,Portland State,Portland St.,1
85,Prairie View,Prairie View A&M,1
86,Purdue-Fort Wayne,Purdue Fort Wayne,1
87,Sacramento State,Sacramento St.,1
88,Saint Francis (PA),St. Francis PA,1
89,Saint Mary's (CA),Saint Mary's,1
90,Sam Houston State,Sam Houston St.,1
91,San Diego State,San Diego St.,1
92,San Jose State,San Jose St.,1
93,Savannah State,Savannah St.,1
94,South Carolina State,South Carolina St.,1
95,South Carolina Upstate,USC Upstate,1
96,South Dakota State,South Dakota St.,1
97,Southeast Missouri State,Southeast Missouri St.,1
98,Southern California,USC,1
99,Southern Methodist,SMU,1
100,Southern Mississippi,Southern Miss,1
101,St. Francis (NY),St. Francis NY,1
102,St. John's (NY),St. John's,1
103,Tarleton State,Tarleton St.,1
104,Tennessee-Martin,Tennessee Martin,1
105,Tennessee State,Tennessee St.,1
106,Texas-Arlington,UT Arlington,1
107,Texas-El Paso,UTEP,1
108,Texas-Rio Grande Valley,UT Rio Grande Valley,1
109,Texas-San Antonio,UTSA,1
110,Texas A&M-Corpus Christi,Texas A&M Corpus Chris,1
111,Texas Christian,TCU,1
112,Texas State,Texas St.,1
113,UC-Davis,UC Davis,1
114,UC-Irvine,UC Irvine,1
115,UC-Riverside,UC Riverside,1
116,UC-San Diego,UC San Diego,1
117,UC-Santa Barbara,UC Santa Barbara,1
118,University of California,California,1
119,Utah State,Utah St.,1
120,Virginia Commonwealth,VCU,1
121,Washington State,Washington St.,1
122,Weber State,Weber St.,1
123,Wichita State,Wichita St.,1
124,Wright State,Wright St.,1
125,Youngstown State,Youngstown St.,1
