Year,Round,Game,Seed,Team
1985,1,1,1,St. John's
1985,1,1,16,Southern
1985,1,2,8,Iowa
1985,1,2,9,Arkansas
1985,1,3,5,Washington
1985,1,3,12,Kentucky
1985,1,4,4,UNLV
1985,1,4,13,San Diego St.
1985,1,5,6,Tulsa
1985,1,5,11,UTEP
1985,1,6,3,North Carolina St.
1985,1,6,14,Nevada
1985,1,7,7,Alabama
1985,1,7,10,Arizona
1985,1,8,2,VCU
1985,1,8,15,Marshall
1985,1,9,1,Georgetown
1985,1,9,16,Lehigh
1985,1,10,8,Temple
1985,1,10,9,Virginia Tech
1985,1,11,5,SMU
1985,1,11,12,Old Dominion
1985,1,12,4,Loyola Chicago
1985,1,12,13,Iona
1985,1,13,6,Georgia
1985,1,13,11,Wichita St.
1985,1,14,3,Illinois
1985,1,14,14,Northeastern
1985,1,15,7,Syracuse
1985,1,15,10,DePaul
1985,1,16,2,Georgia Tech
1985,1,16,15,Mercer
1985,1,17,1,Oklahoma
1985,1,17,16,North Carolina A&T
1985,1,18,8,USC
1985,1,18,9,Illinois St.
1985,1,19,5,Louisiana Tech
1985,1,19,12,Pittsburgh
1985,1,20,4,Ohio St.
1985,1,20,13,Iowa St.
1985,1,21,6,Texas Tech
1985,1,21,11,Boston College
1985,1,22,3,Duke
1985,1,22,14,Pepperdine
1985,1,23,7,UAB
1985,1,23,10,Michigan St.
1985,1,24,2,Memphis
1985,1,24,15,Penn
1985,1,25,1,Michigan
1985,1,25,16,Fairleigh Dickinson
1985,1,26,8,Villanova
1985,1,26,9,Dayton
1985,1,27,5,Maryland
1985,1,27,12,Miami OH
1985,1,28,4,LSU
1985,1,28,13,Navy
1985,1,29,6,Purdue
1985,1,29,11,Auburn
1985,1,30,3,Kansas
1985,1,30,14,Ohio
1985,1,31,7,Notre Dame
1985,1,31,10,Oregon St.
1985,1,32,2,North Carolina
1985,1,32,15,Middle Tennessee
1985,2,33,1,St. John's
1985,2,33,9,Arkansas
1985,2,34,4,UNLV
1985,2,34,12,Kentucky
1985,2,35,3,North Carolina St.
1985,2,35,11,UTEP
1985,2,36,2,VCU
1985,2,36,7,Alabama
1985,2,37,1,Georgetown
1985,2,37,8,Temple
1985,2,38,4,Loyola Chicago
1985,2,38,5,SMU
1985,2,39,3,Illinois
1985,2,39,6,Georgia
1985,2,40,2,Georgia Tech
1985,2,40,7,Syracuse
1985,2,41,1,Oklahoma
1985,2,41,9,Illinois St.
1985,2,42,4,Ohio St.
1985,2,42,5,Louisiana Tech
1985,2,43,3,Duke
1985,2,43,11,Boston College
1985,2,44,2,Memphis
1985,2,44,7,UAB
1985,2,45,1,Michigan
1985,2,45,8,Villanova
1985,2,46,5,Maryland
1985,2,46,13,Navy
1985,2,47,3,Kansas
1985,2,47,11,Auburn
1985,2,48,2,North Carolina
1985,2,48,7,Notre Dame
1985,3,49,1,St. John's
1985,3,49,12,Kentucky
1985,3,50,3,North Carolina St.
1985,3,50,7,Alabama
1985,3,51,1,Georgetown
1985,3,51,4,Loyola Chicago
1985,3,52,2,Georgia Tech
1985,3,52,3,Illinois
1985,3,53,1,Oklahoma
1985,3,53,5,Louisiana Tech
1985,3,54,2,Memphis
1985,3,54,11,Boston College
1985,3,55,5,Maryland
1985,3,55,8,Villanova
1985,3,56,2,North Carolina
1985,3,56,11,Auburn
1985,4,57,1,St. John's
1985,4,57,3,North Carolina St.
1985,4,58,1,Georgetown
1985,4,58,2,Georgia Tech
1985,4,59,1,Oklahoma
1985,4,59,2,Memphis
1985,4,60,2,North Carolina
1985,4,60,8,Villanova
1985,5,61,1,Georgetown
1985,5,61,1,St. John's
1985,5,62,2,Memphis
1985,5,62,8,Villanova
1985,6,63,1,Georgetown
1985,6,63,8,Villanova
1986,1,1,1,Kentucky
1986,1,1,16,Davidson
1986,1,2,8,Western Kentucky
1986,1,2,9,Nebraska
1986,1,3,5,Alabama
1986,1,3,12,Xavier
1986,1,4,4,Illinois
1986,1,4,13,Fairfield
1986,1,5,6,Purdue
1986,1,5,11,LSU
1986,1,6,3,Memphis
1986,1,6,14,Ball St.
1986,1,7,7,Virginia Tech
1986,1,7,10,Villanova
1986,1,8,2,Georgia Tech
1986,1,8,15,Marist
1986,1,9,1,St. John's
1986,1,9,16,Montana St.
1986,1,10,8,Auburn
1986,1,10,9,Arizona
1986,1,11,5,Maryland
1986,1,11,12,Pepperdine
1986,1,12,4,UNLV
1986,1,12,13,Louisiana Monroe
1986,1,13,6,UAB
1986,1,13,11,Missouri
1986,1,14,3,North Carolina
1986,1,14,14,Utah
1986,1,15,7,Bradley
1986,1,15,10,UTEP
1986,1,16,2,Louisville
1986,1,16,15,Drexel
1986,1,17,1,Duke
1986,1,17,16,Mississippi Valley St.
1986,1,18,8,Old Dominion
1986,1,18,9,West Virginia
1986,1,19,5,Virginia
1986,1,19,12,DePaul
1986,1,20,4,Oklahoma
1986,1,20,13,Northeastern
1986,1,21,6,Saint Joseph's
1986,1,21,11,Richmond
1986,1,22,3,Indiana
1986,1,22,14,Cleveland St.
1986,1,23,7,Navy
1986,1,23,10,Tulsa
1986,1,24,2,Syracuse
1986,1,24,15,Brown
1986,1,25,1,Kansas
1986,1,25,16,North Carolina A&T
1986,1,26,8,Jacksonville
1986,1,26,9,Temple
1986,1,27,5,Michigan St.
1986,1,27,12,Washington
1986,1,28,4,Georgetown
1986,1,28,13,Texas Tech
1986,1,29,6,North Carolina St.
1986,1,29,11,Iowa
1986,1,30,3,Notre Dame
1986,1,30,14,Little Rock
1986,1,31,7,Iowa St.
1986,1,31,10,Miami OH
1986,1,32,2,Michigan
1986,1,32,15,Akron
1986,2,33,1,Kentucky
1986,2,33,8,Western Kentucky
1986,2,34,4,Illinois
1986,2,34,5,Alabama
1986,2,35,3,Memphis
1986,2,35,11,LSU
1986,2,36,2,Georgia Tech
1986,2,36,10,Villanova
1986,2,37,1,St. John's
1986,2,37,8,Auburn
1986,2,38,4,UNLV
1986,2,38,5,Maryland
1986,2,39,3,North Carolina
1986,2,39,6,UAB
1986,2,40,2,Louisville
1986,2,40,7,Bradley
1986,2,41,1,Duke
1986,2,41,8,Old Dominion
1986,2,42,4,Oklahoma
1986,2,42,12,DePaul
1986,2,43,6,Saint Joseph's
1986,2,43,14,Cleveland St.
1986,2,44,2,Syracuse
1986,2,44,7,Navy
1986,2,45,1,Kansas
1986,2,45,9,Temple
1986,2,46,4,Georgetown
1986,2,46,5,Michigan St.
1986,2,47,6,North Carolina St.
1986,2,47,14,Little Rock
1986,2,48,2,Michigan
1986,2,48,7,Iowa St.
1986,3,49,1,Kentucky
1986,3,49,5,Alabama
1986,3,50,2,Georgia Tech
1986,3,50,11,LSU
1986,3,51,4,UNLV
1986,3,51,8,Auburn
1986,3,52,2,Louisville
1986,3,52,3,North Carolina
1986,3,53,1,Duke
1986,3,53,12,DePaul
1986,3,54,7,Navy
1986,3,54,14,Cleveland St.
1986,3,55,1,Kansas
1986,3,55,5,Michigan St.
1986,3,56,6,North Carolina St.
1986,3,56,7,Iowa St.
1986,4,57,1,Kentucky
1986,4,57,11,LSU
1986,4,58,2,Louisville
1986,4,58,8,Auburn
1986,4,59,1,Duke
1986,4,59,7,Navy
