,From,To
1,Abilene Christian,Abilene Christian
2,Air Force,Air Force
3,Akron,Akron
4,Alabama,Alabama
5,Alabama A&M,Alabama A&M
6,Alabama St.,Alabama St.
7,Albany,Albany
8,Alcorn St.,Alcorn St.
9,American,American
10,Appalachian St.,Appalachian St.
11,Arizona,Arizona
12,Arizona St.,Arizona St.
13,Arkansas,Arkansas
14,Arkansas Little Rock,Little Rock
15,Arkansas Pine Bluff,Arkansas Pine Bluff
16,Arkansas St.,Arkansas St.
17,Army,Army
18,Auburn,Auburn
19,Austin Peay,Austin Peay
20,Ball St.,Ball St.
21,Baylor,Baylor
22,Bellarmine,Bellarmine
23,Belmont,Belmont
24,Bethune Cookman,Bethune Cookman
25,Binghamton,Binghamton
26,Boise St.,Boise St.
27,Boston College,Boston College
28,Boston University,Boston University
29,Bowling Green,Bowling Green
30,Bradley,Bradley
31,Brown,Brown
32,Bryant,Bryant
33,Bucknell,Bucknell
34,Buffalo,Buffalo
35,Butler,Butler
36,BYU,BYU
37,Cal Baptist,Cal Baptist
38,Cal Poly,Cal Poly
39,Cal St. Bakersfield,Cal St. Bakersfield
40,Cal St. Fullerton,Cal St. Fullerton
41,Cal St. Northridge,Cal St. Northridge
42,California,California
43,Campbell,Campbell
44,Canisius,Canisius
45,Centenary,Centenary
46,Central Arkansas,Central Arkansas
47,Central Connecticut,Central Connecticut
48,Central Michigan,Central Michigan
49,Charleston,Charleston
50,Charleston Southern,Charleston Southern
51,Charlotte,Charlotte
52,Chattanooga,Chattanooga
53,Chicago St.,Chicago St.
54,Cincinnati,Cincinnati
55,Clemson,Clemson
56,Cleveland St.,Cleveland St.
57,Coastal Carolina,Coastal Carolina
58,Colgate,Colgate
59,College of Charleston,Charleston
60,Colorado,Colorado
61,Colorado St.,Colorado St.
62,Columbia,Columbia
63,Connecticut,Connecticut
64,Coppin St.,Coppin St.
65,Cornell,Cornell
66,Creighton,Creighton
67,Dartmouth,Dartmouth
68,Davidson,Davidson
69,Dayton,Dayton
70,Delaware,Delaware
71,Delaware St.,Delaware St.
72,Denver,Denver
73,DePaul,DePaul
74,Detroit,Detroit
75,Dixie St.,Dixie St.
76,Drake,Drake
77,Drexel,Drexel
78,Duke,Duke
79,Duquesne,Duquesne
80,East Carolina,East Carolina
81,East Tennessee St.,East Tennessee St.
82,Eastern Illinois,Eastern Illinois
83,Eastern Kentucky,Eastern Kentucky
84,Eastern Michigan,Eastern Michigan
85,Eastern Washington,Eastern Washington
86,Elon,Elon
87,Evansville,Evansville
88,Fairfield,Fairfield
89,Fairleigh Dickinson,Fairleigh Dickinson
90,FIU,FIU
91,Florida,Florida
92,Florida A&M,Florida A&M
93,Florida Atlantic,Florida Atlantic
94,Florida Gulf Coast,Florida Gulf Coast
95,Florida St.,Florida St.
96,Fordham,Fordham
97,Fort Wayne,Fort Wayne
98,Fresno St.,Fresno St.
99,Furman,Furman
100,Gardner Webb,Gardner Webb
101,George Mason,George Mason
102,George Washington,George Washington
103,Georgetown,Georgetown
104,Georgia,Georgia
105,Georgia Southern,Georgia Southern
106,Georgia St.,Georgia St.
107,Georgia Tech,Georgia Tech
108,Gonzaga,Gonzaga
109,Grambling St.,Grambling St.
110,Grand Canyon,Grand Canyon
111,Green Bay,Green Bay
112,Hampton,Hampton
113,Hartford,Hartford
114,Harvard,Harvard
115,Hawaii,Hawaii
116,High Point,High Point
117,Hofstra,Hofstra
118,Holy Cross,Holy Cross
119,Houston,Houston
120,Houston Baptist,Houston Baptist
121,Howard,Howard
122,Idaho,Idaho
123,Idaho St.,Idaho St.
124,Illinois,Illinois
125,Illinois Chicago,Illinois Chicago
126,Illinois St.,Illinois St.
127,Incarnate Word,Incarnate Word
128,Indiana,Indiana
129,Indiana St.,Indiana St.
130,Iona,Iona
131,Iowa,Iowa
132,Iowa St.,Iowa St.
133,IPFW,IPFW
134,IUPUI,IUPUI
135,Jackson St.,Jackson St.
136,Jacksonville,Jacksonville
137,Jacksonville St.,Jacksonville St.
138,James Madison,James Madison
139,Kansas,Kansas
140,Kansas St.,Kansas St.
141,Kennesaw St.,Kennesaw St.
142,Kent St.,Kent St.
143,Kentucky,Kentucky
144,La Salle,La Salle
145,Lafayette,Lafayette
146,Lamar,Lamar
147,Lehigh,Lehigh
148,Liberty,Liberty
149,Lipscomb,Lipscomb
150,Little Rock,Little Rock
151,LIU,LIU
152,LIU Brooklyn,LIU
153,Long Beach St.,Long Beach St.
154,Longwood,Longwood
155,Louisiana,Louisiana
156,Louisiana Lafayette,Louisiana Lafayette
157,Louisiana Monroe,Louisiana Monroe
158,Louisiana Tech,Louisiana Tech
159,Louisville,Louisville
160,Loyola Chicago,Loyola Chicago
161,Loyola Marymount,Loyola Marymount
162,Loyola MD,Loyola MD
163,LSU,LSU
164,Maine,Maine
165,Manhattan,Manhattan
166,Marist,Marist
167,Marquette,Marquette
168,Marshall,Marshall
169,Maryland,Maryland
170,Maryland Eastern Shore,Maryland Eastern Shore
171,Massachusetts,Massachusetts
172,McNeese St.,McNeese St.
173,Memphis,Memphis
174,Mercer,Mercer
175,Merrimack,Merrimack
176,Miami FL,Miami FL
177,Miami OH,Miami OH
178,Michigan,Michigan
179,Michigan St.,Michigan St.
180,Middle Tennessee,Middle Tennessee
181,Milwaukee,Milwaukee
182,Minnesota,Minnesota
183,Mississippi,Mississippi
184,Mississippi St.,Mississippi St.
185,Mississippi Valley St.,Mississippi Valley St.
186,Missouri,Missouri
187,Missouri St.,Missouri St.
188,Monmouth,Monmouth
189,Montana,Montana
190,Montana St.,Montana St.
191,Morehead St.,Morehead St.
192,Morgan St.,Morgan St.
193,Mount St. Mary's,Mount St. Mary's
194,Murray St.,Murray St.
195,N.C. State,North Carolina St.
196,Navy,Navy
197,Nebraska,Nebraska
198,Nebraska Omaha,Nebraska Omaha
199,Nevada,Nevada
200,New Hampshire,New Hampshire
201,New Mexico,New Mexico
202,New Mexico St.,New Mexico St.
203,New Orleans,New Orleans
204,Niagara,Niagara
205,Nicholls St.,Nicholls St.
206,NJIT,NJIT
207,Norfolk St.,Norfolk St.
208,North Alabama,North Alabama
