,From,To,
1,Alabama State,Alabama St.,1
2,Alcorn State,Alcorn St.,1
3,Appalachian State,Appalachian St.,1
4,Arizona State,Arizona St.,1
5,Arkansas-Pine Bluff,Arkansas Pine Bluff,1
6,Arkansas State,Arkansas St.,1
7,Ball State,Ball St.,1
8,Bethune-Cookman,Bethune Cookman,1
9,Boise State,Boise St.,1
10,California Baptist,Cal Baptist,1
11,Chicago State,Chicago St.,1
12,Cleveland State,Cleveland St.,1
13,Colorado State,Colorado St.,1
14,Coppin State,Coppin St.,1
15,CSU Bakersfield,Cal St. Bakersfield,1
16,CSU Fullerton,Cal St. Fullerton,1
17,CSU Northridge,Cal St. Northridge,1
18,Delaware State,Delaware St.,1
19,Detroit Mercy,Detroit,1
20,Dixie State,Dixie St.,1
21,East Tennessee State,East Tennessee St.,1
22,Florida International,FIU,1
23,Florida State,Florida St.,1
24,Fresno State,Fresno St.,1
25,Gardner-Webb,Gardner Webb,1
26,Georgia State,Georgia St.,1
27,Grambling,Grambling St.,1
28,Hawai'i,Hawaii,1
29,Idaho State,Idaho St.,1
30,Illinois State,Illinois St.,1
31,Indiana State,Indiana St.,1
32,Iowa State,Iowa St.,1
33,Jackson State,Jackson St.,1
34,Jacksonville State,Jacksonville St.,1
35,Kansas State,Kansas St.,1
36,Kennesaw State,Kennesaw St.,1
37,Kent State,Kent St.,1
38,Long Beach State,Long Beach St.,1
39,Long Island University,LIU,2
40,Loyola (MD),Loyola MD,1
41,Maryland-Eastern Shore,Maryland Eastern Shore,1
42,McNeese,McNeese St.,1
43,Miami,Miami FL,1
44,Miami (OH),Miami OH,1
45,Michigan State,Michigan St.,1
46,Mississippi State,Mississippi St.,1
47,Mississippi Valley State,Mississippi Valley St.,1
48,Missouri State,Missouri St.,1
49,Montana State,Montana St.,1
50,Morehead State,Morehead St.,1
51,Morgan St,Morgan St.,1
52,Murray State,Murray St.,1
53,NC State,North Carolina St.,1
54,New Mexico State,New Mexico St.,1
55,Nicholls,Nicholls St.,1
56,Norfolk State,Norfolk St.,1
57,North Dakota State,North Dakota St.,1
58,Northwestern State,Northwestern St.,1
59,Ohio State,Ohio St.,1
60,Oklahoma State,Oklahoma St.,1
61,Ole Miss,Mississippi,1
62,Omaha,Nebraska Omaha,1
63,Oregon State,Oregon St.,1
64,Penn State,Penn St.,1
65,Pennsylvania,Penn,1
66,Portland State,Portland St.,1
67,Sacramento State,Sacramento St.,1
68,Sam Houston State,Sam Houston St.,1
69,San Diego State,San Diego St.,1
70,San José St,San Jose St.,1
71,Savannah State,Savannah St.,1
72,SE Louisiana,Southeastern Louisiana,1
73,Seattle U,Seattle,1
74,South Carolina State,South Carolina St.,1
75,South Carolina Upstate,USC Upstate,1
76,South Dakota State,South Dakota St.,1
77,Southeast Missouri State,Southeast Missouri St.,1
78,St. Francis BKN,St. Francis NY,1
79,St. Francis (PA),St. Francis PA,1
80,Tarleton,Tarleton St.,1
81,Tennessee State,Tennessee St.,1
82,Texas A&M-CC,Texas A&M Corpus Chris,1
83,Texas State,Texas St.,1
84,UConn,Connecticut,1
85,UIC,Illinois Chicago,1
86,UL Monroe,Louisiana Monroe,1
87,UM Kansas City,UMKC,1
88,UMass,Massachusetts,1
89,UT Martin,Tennessee Martin,1
90,Utah State,Utah St.,1
91,Washington State,Washington St.,1
92,Weber State,Weber St.,1
93,Wichita State,Wichita St.,1
94,Winston Salem,Winston Salem St.,1
95,Wright State,Wright St.,1
96,Youngstown State,Youngstown St.,1
