"","team_names"
"1","Abilene Christian"
"2","Air Force"
"3","Akron"
"4","Alabama"
"5","Alabama A&M"
"6","Alabama St."
"7","Albany"
"8","Alcorn St."
"9","American"
"10","Appalachian St."
"11","Arizona"
"12","Arizona St."
"13","Arkansas"
"14","Arkansas Pine Bluff"
"15","Arkansas St."
"16","Army"
"17","Auburn"
"18","Austin Peay"
"19","Ball St."
"20","Baylor"
"21","Bellarmine"
"22","Belmont"
"23","Bethune Cookman"
"24","Binghamton"
"25","Boise St."
"26","Boston College"
"27","Boston University"
"28","Bowling Green"
"29","Bradley"
"30","Brown"
"31","Bryant"
"32","Bucknell"
"33","Buffalo"
"34","Butler"
"35","BYU"
"36","Cal Baptist"
"37","Cal Poly"
"38","Cal St. Bakersfield"
"39","Cal St. Fullerton"
"40","Cal St. Northridge"
"41","California"
"42","Campbell"
"43","Canisius"
"44","Centenary"
"45","Central Arkansas"
"46","Central Connecticut"
"47","Central Michigan"
"48","Charleston"
"49","Charleston Southern"
"50","Charlotte"
"51","Chattanooga"
"52","Chicago St."
"53","Cincinnati"
"54","Clemson"
"55","Cleveland St."
"56","Coastal Carolina"
"57","Colgate"
"58","Colorado"
"59","Colorado St."
"60","Columbia"
"61","Connecticut"
"62","Coppin St."
"63","Cornell"
"64","Creighton"
"65","Dartmouth"
"66","Davidson"
"67","Dayton"
"68","Delaware"
"69","Delaware St."
"70","Denver"
"71","DePaul"
"72","Detroit"
"73","Dixie St."
"74","Drake"
"75","Drexel"
"76","Duke"
"77","Duquesne"
"78","East Carolina"
"79","East Tennessee St."
"80","Eastern Illinois"
"81","Eastern Kentucky"
"82","Eastern Michigan"
"83","Eastern Washington"
"84","Elon"
"85","Evansville"
"86","Fairfield"
"87","Fairleigh Dickinson"
"88","FIU"
"89","Florida"
"90","Florida A&M"
"91","Florida Atlantic"
"92","Florida Gulf Coast"
"93","Florida St."
"94","Fordham"
"95","Fort Wayne"
"96","Fresno St."
"97","Furman"
"98","Gardner Webb"
"99","George Mason"
"100","George Washington"
"101","Georgetown"
"102","Georgia"
"103","Georgia Southern"
"104","Georgia St."
"105","Georgia Tech"
"106","Gonzaga"
"107","Grambling St."
"108","Grand Canyon"
"109","Green Bay"
"110","Hampton"
"111","Hartford"
"112","Harvard"
"113","Hawaii"
"114","High Point"
"115","Hofstra"
"116","Holy Cross"
"117","Houston"
"118","Houston Baptist"
"119","Howard"
"120","Idaho"
"121","Idaho St."
"122","Illinois"
"123","Illinois Chicago"
"124","Illinois St."
"125","Incarnate Word"
"126","Indiana"
"127","Indiana St."
"128","Iona"
"129","Iowa"
"130","Iowa St."
"131","IPFW"
"132","IUPUI"
"133","Jackson St."
"134","Jacksonville"
"135","Jacksonville St."
"136","James Madison"
"137","Kansas"
"138","Kansas St."
"139","Kennesaw St."
"140","Kent St."
"141","Kentucky"
"142","La Salle"
"143","Lafayette"
"144","Lamar"
"145","Lehigh"
"146","Liberty"
"147","Lipscomb"
"148","Little Rock"
"149","LIU"
"150","Long Beach St."
"151","Longwood"
"152","Louisiana"
"153","Louisiana Lafayette"
"154","Louisiana Monroe"
"155","Louisiana Tech"
"156","Louisville"
"157","Loyola Chicago"
"158","Loyola Marymount"
"159","Loyola MD"
"160","LSU"
"161","Maine"
"162","Manhattan"
"163","Marist"
"164","Marquette"
"165","Marshall"
"166","Maryland"
"167","Maryland Eastern Shore"
"168","Massachusetts"
"169","McNeese St."
"170","Memphis"
"171","Mercer"
"172","Merrimack"
"173","Miami FL"
"174","Miami OH"
"175","Michigan"
"176","Michigan St."
"177","Middle Tennessee"
"178","Milwaukee"
"179","Minnesota"
"180","Mississippi"
"181","Mississippi St."
"182","Mississippi Valley St."
"183","Missouri"
"184","Missouri St."
"185","Monmouth"
"186","Montana"
"187","Montana St."
"188","Morehead St."
"189","Morgan St."
