GameN,Date,Year,Round,Region,Favored,Seed,Team,Conf,Score,AdjEM,Overtime,Winner,Result,Score.D,,
-1,12-Mar-02,2002,PI,EN,F,16,Siena,MAAC,81,-1.21,,Siena,F,4,,
-1,12-Mar-02,2002,PI,EN,U,16,Alcorn St.,SWAC,77,-8.71,,Siena,F,4,,
1,14-Mar-02,2002,1,WN,F,1,Duke,ACC,84,34.19,,Duke,F,47,,
1,14-Mar-02,2002,1,WN,U,16,Winthrop,BSth,37,-5.31,,Duke,F,47,,
2,14-Mar-02,2002,1,WN,F,8,Notre Dame,BE,82,19.27,,Notre Dame,F,19,,
2,14-Mar-02,2002,1,WN,U,9,Charlotte,CUSA,63,15.73,,Notre Dame,F,19,,
3,14-Mar-02,2002,1,WN,F,5,Indiana,B10,75,24.8,,Indiana,F,19,,
3,14-Mar-02,2002,1,WN,U,12,Utah,MWC,56,14.08,,Indiana,F,19,,
4,14-Mar-02,2002,1,WN,F,4,USC,P10,89,20.67,1 OT,UNC Wilmington,U,-4,,
4,14-Mar-02,2002,1,WN,U,13,UNC Wilmington,CAA,93,11.32,1 OT,UNC Wilmington,U,-4,,
5,15-Mar-02,2002,1,WN,F,6,California,P10,82,16.03,,California,F,7,,
5,15-Mar-02,2002,1,WN,U,11,Penn,Ivy,75,12.23,,California,F,7,,
6,15-Mar-02,2002,1,WN,F,3,Pittsburgh,BE,71,19.94,,Pittsburgh,F,17,,
6,15-Mar-02,2002,1,WN,U,14,Central Connecticut,NEC,54,0.93,,Pittsburgh,F,17,,
7,14-Mar-02,2002,1,WN,F,10,Kent St.,MAC,69,20.39,,Kent St.,F,8,,
7,14-Mar-02,2002,1,WN,U,7,Oklahoma St.,B12,61,15.8,,Kent St.,F,8,,
8,14-Mar-02,2002,1,WN,F,2,Alabama,SEC,86,18.73,,Alabama,F,8,,
8,14-Mar-02,2002,1,WN,U,15,Florida Atlantic,ASun,78,-2.5,,Alabama,F,8,,
9,15-Mar-02,2002,1,WS,F,1,Cincinnati,CUSA,90,30.19,,Cincinnati,F,38,,
9,15-Mar-02,2002,1,WS,U,16,Boston University,AE,52,-2.74,,Cincinnati,F,38,,
10,15-Mar-02,2002,1,WS,F,9,Mississippi,SEC,58,16.68,,UCLA,U,-22,,
10,15-Mar-02,2002,1,WS,U,8,UCLA,P10,80,16.34,,UCLA,U,-22,,
11,14-Mar-02,2002,1,WS,F,12,Missouri,B12,93,17.49,,Missouri,F,13,,
11,14-Mar-02,2002,1,WS,U,5,Miami FL,BE,80,15.77,,Missouri,F,13,,
12,14-Mar-02,2002,1,WS,F,4,Ohio St.,B10,69,19.76,,Ohio St.,F,5,,
12,14-Mar-02,2002,1,WS,U,13,Davidson,SC,64,3.7,,Ohio St.,F,5,,
13,14-Mar-02,2002,1,WS,F,6,Gonzaga,WCC,66,18.51,,Wyoming,U,-7,,
13,14-Mar-02,2002,1,WS,U,11,Wyoming,MWC,73,11.01,,Wyoming,U,-7,,
14,14-Mar-02,2002,1,WS,F,3,Arizona,P10,86,20.54,,Arizona,F,5,,
14,14-Mar-02,2002,1,WS,U,14,UC Santa Barbara,BW,81,8.87,,Arizona,F,5,,
15,15-Mar-02,2002,1,WS,F,7,Xavier,A10,70,18.6,,Xavier,F,12,,
15,15-Mar-02,2002,1,WS,U,10,Hawaii,WAC,58,13.15,,Xavier,F,12,,
16,15-Mar-02,2002,1,WS,F,2,Oklahoma,B12,71,26.04,,Oklahoma,F,8,,
16,15-Mar-02,2002,1,WS,U,15,Illinois Chicago,Horz,63,3.85,,Oklahoma,F,8,,
17,15-Mar-02,2002,1,EN,F,1,Maryland,ACC,85,29.25,,Maryland,F,15,,
17,15-Mar-02,2002,1,EN,U,16,Siena,MAAC,70,-1.21,,Maryland,F,15,,
18,15-Mar-02,2002,1,EN,F,8,Wisconsin,B10,80,13.22,,Wisconsin,F,10,,
18,15-Mar-02,2002,1,EN,U,9,St. John's,BE,70,9.06,,Wisconsin,F,10,,
19,14-Mar-02,2002,1,EN,F,5,Marquette,CUSA,69,21.47,,Tulsa,U,-2,,
19,14-Mar-02,2002,1,EN,U,12,Tulsa,WAC,71,15.59,,Tulsa,U,-2,,
20,14-Mar-02,2002,1,EN,F,4,Kentucky,SEC,83,22.21,,Kentucky,F,15,,
20,14-Mar-02,2002,1,EN,U,13,Valparaiso,MCon,68,13.63,,Kentucky,F,15,,
