TEAM,PAKE,PASE
North Carolina,11.7,9.1
Connecticut,11.7,11.5
Michigan St.,11.2,14
Butler,9.2,11
Kentucky,8.7,9.2
Florida,8.6,11.3
UCLA,8.3,7.9
Syracuse,7.7,6
Oregon,6.5,5.7
Michigan,5.5,6.5
Kansas,4.7,-0.2
Xavier,4,3.4
Wisconsin,3.9,7.7
Auburn,3.5,3.8
Loyola Chicago,3.2,3.4
West Virginia,3,4.3
Villanova,2.9,1.1
Arizona,2.7,1.2
Maryland,2.7,2.8
George Mason,2.5,3
South Carolina,2.3,2.5
Texas Tech,2.3,3.1
Gonzaga,2.2,1.5
UAB,1.9,2
Ohio,1.9,2.3
Tulsa,1.9,3.1
La Salle,1.5,1.8
Florida Gulf Coast,1.5,1.8
Bradley,1.3,1.7
Georgia Tech,1.3,2.1
Kent St.,1.3,1.9
Purdue,1.3,3
Milwaukee,1.2,1.3
Louisville,1.1,3.7
Cornell,1.1,1.2
Georgia St.,1.1,1
Middle Tennessee,1.1,1.4
LSU,1,1
Florida St.,1,0.8
Memphis,1,-0.2
Nevada,0.9,0.4
Norfolk St.,0.9,0.9
UMBC,0.9,0.9
Texas A&M,0.8,1.6
Mercer,0.8,0.8
Dayton,0.8,-1.4
Marshall,0.7,0.8
Western Kentucky,0.7,0.9
Rhode Island,0.7,0.5
Washington,0.7,0.2
Morehead St.,0.7,0.7
USC,0.7,0.3
Liberty,0.7,0.5
Penn St.,0.6,0.5
Northwestern St.,0.6,0.7
Hampton,0.6,0.9
UC Irvine,0.5,0.5
Central Michigan,0.5,0.4
Little Rock,0.5,0.5
Lehigh,0.5,0.9
Siena,0.4,0.9
Cleveland St.,0.4,0.8
Wyoming,0.4,-0.1
Richmond,0.4,0.6
Pacific,0.4,0.5
Northwestern,0.4,0.3
Baylor,0.3,0.1
Indiana St.,0.3,0.1
VCU,0.2,0.3
San Diego,0.2,0.5
Harvard,0.2,0.6
Stephen F. Austin,0.1,0.5
South Florida,0.1,0.5
Bucknell,0.1,0.1
North Dakota St.,0.1,0.3
Wichita St.,0,1.4
Yale,0,0.3
UCF,0,0.2
Indiana,0,0.1
Arkansas Pine Bluff,0,0
North Carolina A&T,0,0
Delaware St.,0,0
Florida A&M,0,0
Wagner,0,-0.1
UT Arlington,0,0
Mississippi Valley St.,0,0
South Carolina St.,0,0
Fairleigh Dickinson,0,0
Alabama St.,0,0
UC Davis,0,0
Jackson St.,0,0
Lamar,0,0
Gardner Webb,0,0
Radford,0,0
Kansas St.,0,-0.7
Eastern Illinois,0,-0.1
Pepperdine,-0.1,-0.2
Abilene Christian,-0.1,-0.1
Lafayette,-0.1,-0.1
Texas Southern,-0.1,-0.1
Lipscomb,-0.1,-0.1
North Dakota,-0.1,-0.1
Colgate,-0.1,-0.1
Jacksonville St.,-0.1,-0.1
Manhattan,-0.1,0.1
Coastal Carolina,-0.1,0
Troy,-0.1,-0.1
Florida Atlantic,-0.1,-0.1
Cal Poly,-0.1,0
Loyola MD,-0.1,-0.1
Northern Colorado,-0.1,-0.1
UTSA,-0.1,0
Binghamton,-0.1,-0.1
Detroit,-0.1,-0.1
James Madison,-0.1,0
IUPUI,-0.1,0
Boise St.,-0.1,-0.2
Buffalo,-0.1,0
Northern Kentucky,-0.1,-0.2
Mount St. Mary's,-0.1,0
Samford,-0.2,-0.3
Appalachian St.,-0.2,-0.2
Southern Illinois,-0.2,0.1
Boston University,-0.2,0
Colorado St.,-0.2,-0.5
Robert Morris,-0.2,-0.1
Cal St. Bakersfield,-0.2,-0.1
Texas A&M Corpus Chris,-0.2,-0.1
Delaware,-0.2,-0.3
Southern,-0.2,0
Green Bay,-0.2,-0.2
North Texas,-0.2,-0.1
Morgan St.,-0.2,-0.1
Southeastern Louisiana,-0.2,-0.1
Stony Brook,-0.2,-0.3
Saint Peter's,-0.2,-0.2
Southeast Missouri St.,-0.2,-0.3
Southern Utah,-0.2,-0.2
Monmouth,-0.2,-0.1
Alabama,-0.2,-0.6
College of Charleston,-0.2,-0.3
Tennessee,-0.2,-0.2
Northern Arizona,-0.3,-0.1
Fresno St.,-0.3,-0.4
UNC Greensboro,-0.3,-0.3
Cal St. Fullerton,-0.3,-0.2
DePaul,-0.3,-0.5
Northeastern,-0.3,-0.4
Troy St.,-0.3,-0.2
McNeese St.,-0.3,-0.2
North Carolina Central,-0.3,-0.2
Miami OH,-0.3,-0.2
Portland St.,-0.3,-0.3
LIU Brooklyn,-0.3,-0.1
Niagara,-0.3,-0.2
Sam Houston St.,-0.3,-0.2
UNC Asheville,-0.3,-0.1
Eastern Washington,-0.3,-0.3
Austin Peay,-0.3,-0.3
Eastern Kentucky,-0.3,-0.1
Chattanooga,-0.3,-0.6
Central Connecticut,-0.3,-0.2
Wright St.,-0.3,-0.3
Cal St. Northridge,-0.3,-0.3
North Carolina St.,-0.4,1.3
Washington St.,-0.4,-0.4
richmond,-0.4,-0.6
Massachusetts,-0.4,-1.1
Southern Miss,-0.4,-0.6
Vermont,-0.4,0.2
Miami FL,-0.4,-2.1
Notre Dame,-0.4,-1.4
Murray St.,-0.5,-0.2
Illinois Chicago,-0.5,-0.3
Oregon St.,-0.5,-0.9
Oakland,-0.5,-0.4
American,-0.5,-0.3
Ball St.,-0.5,-0.6
Hofstra,-0.5,-0.4
Marquette,-0.5,-0.9
Houston,-0.5,-0.2
Hawaii,-0.5,-0.4
Montana,-0.6,-0.5
Northern Iowa,-0.6,-0.2
Nebraska,-0.6,-0.6
UC Santa Barbara,-0.6,-0.3
South Alabama,-0.6,-0.8
Missouri,-0.7,-0.6
Weber St.,-0.7,-0.6
Saint Louis,-0.7,-1.1
Seton Hall,-0.7,-0.9
Winthrop,-0.8,-0.5
Albany,-0.8,-0.5
Oral Roberts,-0.8,-0.4
Air Force,-0.8,-0.9
Akron,-0.8,-0.8
Western Michigan,-0.8,-0.8
Virginia Tech,-0.8,-0.9
Oklahoma,-0.9,-2.7
Mississippi,-0.9,-1.3
East Tennessee St.,-0.9,-0.6
Long Beach St.,-0.9,-1
Holy Cross,-0.9,-0.5
TCU,-0.9,-1.1
Princeton,-0.9,-1
Boston College,-0.9,-2.4
Louisiana Lafayette,-1,-0.8
Charlotte,-1,-1.7
Davidson,-1.1,0.3
Arizona St.,-1.2,-0.9
South Dakota St.,-1.2,-1.4
Wofford,-1.2,-0.9
Iona,-1.3,-1.1
St. Bonaventure,-1.3,-1.3
Old Dominion,-1.3,-1.4
George Washington,-1.3,-1.4
Drake,-1.3,-1.1
Vanderbilt,-1.5,-3.1
Utah,-1.5,-1.6
