ID,Date,Year,season,Round,Region,F.Rate,F.Rank,F.Seed,F.Team,F.Score,U.Rate,U.Rank,U.Seed,U.Team,U.Score,Overtime,MV,SeD,Upset
1,12-Mar-02,2002,2001-02,PI,East,-1.21,174,16,Siena,81,-8.71,252,16,Alcorn St.,77,,4,0,
2,14-Mar-02,2002,2001-02,1,South,20.67,12,4,USC,89,11.32,65,13,UNC Wilmington,93,1 OT,4,-9,13 over 4
3,14-Mar-02,2002,2001-02,1,East,21.47,11,5,Marquette,69,15.59,41,12,Tulsa,71,,2,-7,12 over 5
4,14-Mar-02,2002,2001-02,1,West,17.49,29,12,Missouri,93,15.77,39,5,Miami FL,80,,13,-7,12 over 5
5,14-Mar-02,2002,2001-02,1,West,18.51,24,6,Gonzaga,66,11.01,67,11,Wyoming,73,,7,-5,11 over 6
6,14-Mar-02,2002,2001-02,1,East,22.21,10,4,Kentucky,83,13.63,47,13,Valparaiso,68,,15,9,
7,14-Mar-02,2002,2001-02,1,Midwest,28.99,4,1,Kansas,70,-0.24,162,16,Holy Cross,59,,11,15,
8,14-Mar-02,2002,2001-02,1,Midwest,22.97,9,2,Oregon,81,-4.51,210,15,Montana,62,,19,13,
9,14-Mar-02,2002,2001-02,1,Midwest,17.35,30,7,Wake Forest,83,11.72,62,10,Pepperdine,74,,9,3,
10,14-Mar-02,2002,2001-02,1,Midwest,20.32,15,8,Stanford,84,14.51,44,9,Western Kentucky,68,,16,1,
11,14-Mar-02,2002,2001-02,1,South,34.19,1,1,Duke,84,-5.31,219,16,Winthrop,37,,47,15,
12,14-Mar-02,2002,2001-02,1,South,18.73,22,2,Alabama,86,-2.5,191,15,Florida Atlantic,78,,8,13,
13,14-Mar-02,2002,2001-02,1,South,24.8,6,5,Indiana,75,14.08,45,12,Utah,56,,19,7,
14,14-Mar-02,2002,2001-02,1,South,19.27,19,8,Notre Dame,82,15.73,40,9,Charlotte,63,,19,1,
15,14-Mar-02,2002,2001-02,1,West,20.54,13,3,Arizona,86,8.87,77,14,UC Santa Barbara,81,,5,11,
16,14-Mar-02,2002,2001-02,1,West,19.76,17,4,Ohio St.,69,3.7,119,13,Davidson,64,,5,9,
17,14-Mar-02,2002,2001-02,1,South,20.39,14,10,Kent St.,69,15.8,38,7,Oklahoma St.,61,,8,-3,10 over 7
18,15-Mar-02,2002,2001-02,1,Midwest,24.72,7,5,Florida,82,11.82,59,12,Creighton,83,2 OT,1,-7,12 over 5
19,15-Mar-02,2002,2001-02,1,East,17.24,31,6,Texas Tech,68,13.45,49,11,Southern Illinois,76,,8,-5,11 over 6
20,15-Mar-02,2002,2001-02,1,East,29.25,3,1,Maryland,85,-1.21,174,16,Siena,70,,15,15,
21,15-Mar-02,2002,2001-02,1,East,19.36,18,2,Connecticut,78,3.99,116,15,Hampton,67,,11,13,
22,15-Mar-02,2002,2001-02,1,East,18.44,25,3,Georgia,85,1.35,146,14,Murray St.,68,,17,11,
23,15-Mar-02,2002,2001-02,1,East,19.15,21,7,North Carolina St.,69,16.86,32,10,Michigan St.,58,,11,3,
24,15-Mar-02,2002,2001-02,1,East,13.22,50,8,Wisconsin,80,9.06,76,9,St. John's,70,,10,1,
25,15-Mar-02,2002,2001-02,1,Midwest,18.25,26,3,Mississippi St.,70,5.39,100,14,McNeese St.,58,,12,11,
26,15-Mar-02,2002,2001-02,1,Midwest,23.21,8,4,Illinois,93,9.29,74,13,San Diego St.,64,,29,9,
27,15-Mar-02,2002,2001-02,1,Midwest,17.69,27,6,Texas,70,9.97,71,11,Boston College,57,,13,5,
28,15-Mar-02,2002,2001-02,1,South,19.94,16,3,Pittsburgh,71,0.93,150,14,Central Connecticut,54,,17,11,
29,15-Mar-02,2002,2001-02,1,South,16.03,37,6,California,82,12.23,58,11,Penn,75,,7,5,
30,15-Mar-02,2002,2001-02,1,West,30.19,2,1,Cincinnati,90,-2.74,194,16,Boston University,52,,38,15,
31,15-Mar-02,2002,2001-02,1,West,26.04,5,2,Oklahoma,71,3.85,118,15,Illinois Chicago,63,,8,13,
32,15-Mar-02,2002,2001-02,1,West,18.6,23,7,Xavier,70,13.15,51,10,Hawaii,58,,12,3,
33,15-Mar-02,2002,2001-02,1,West,16.68,34,9,Mississippi,58,16.34,35,8,UCLA,80,,22,1,
34,16-Mar-02,2002,2001-02,2,South,20.39,14,10,Kent St.,71,18.73,22,2,Alabama,58,,13,-8,10 over 2
35,16-Mar-02,2002,2001-02,2,West,19.76,17,4,Ohio St.,67,17.49,29,12,Missouri,83,,16,-8,12 over 4
36,16-Mar-02,2002,2001-02,2,East,22.21,10,4,Kentucky,87,15.59,41,12,Tulsa,82,,5,8,
37,16-Mar-02,2002,2001-02,2,Midwest,28.99,4,1,Kansas,86,20.32,15,8,Stanford,63,,23,7,
38,16-Mar-02,2002,2001-02,2,Midwest,22.97,9,2,Oregon,92,17.35,30,7,Wake Forest,87,,5,5,
39,16-Mar-02,2002,2001-02,2,South,34.19,1,1,Duke,84,19.27,19,8,Notre Dame,77,,7,7,
40,16-Mar-02,2002,2001-02,2,South,24.8,6,5,Indiana,76,11.32,65,13,UNC Wilmington,67,,9,8,
41,16-Mar-02,2002,2001-02,2,West,20.54,13,3,Arizona,68,11.01,67,11,Wyoming,60,,8,8,
42,17-Mar-02,2002,2001-02,2,East,18.44,25,3,Georgia,75,13.45,49,11,Southern Illinois,77,,2,-8,11 over 3
43,17-Mar-02,2002,2001-02,2,West,30.19,2,1,Cincinnati,101,16.34,35,8,UCLA,105,2 OT,4,-7,8 over 1
44,17-Mar-02,2002,2001-02,2,East,29.25,3,1,Maryland,87,13.22,50,8,Wisconsin,57,,30,7,
45,17-Mar-02,2002,2001-02,2,East,19.36,18,2,Connecticut,77,19.15,21,7,North Carolina St.,74,,3,5,
46,17-Mar-02,2002,2001-02,2,Midwest,23.21,8,4,Illinois,72,11.82,59,12,Creighton,60,,12,8,
47,17-Mar-02,2002,2001-02,2,South,19.94,16,3,Pittsburgh,63,16.03,37,6,California,50,,13,3,
48,17-Mar-02,2002,2001-02,2,West,26.04,5,2,Oklahoma,78,18.6,23,7,Xavier,65,,13,5,
49,17-Mar-02,2002,2001-02,2,Midwest,18.25,26,3,Mississippi St.,64,17.69,27,6,Texas,68,,4,-3,6 over 3
50,21-Mar-02,2002,2001-02,3,South,20.39,14,10,Kent St.,78,19.94,16,3,Pittsburgh,73,,5,-7,10 over 3
51,21-Mar-02,2002,2001-02,3,South,34.19,1,1,Duke,73,24.8,6,5,Indiana,74,,1,-4,5 over 1
52,21-Mar-02,2002,2001-02,3,West,17.49,29,12,Missouri,82,16.34,35,8,UCLA,73,,9,-4,12 over 8
53,21-Mar-02,2002,2001-02,3,West,26.04,5,2,Oklahoma,88,20.54,13,3,Arizona,67,,21,1,
54,22-Mar-02,2002,2001-02,3,East,29.25,3,1,Maryland,78,22.21,10,4,Kentucky,68,,10,3,
55,22-Mar-02,2002,2001-02,3,East,19.36,18,2,Connecticut,71,13.45,49,11,Southern Illinois,59,,12,9,
56,22-Mar-02,2002,2001-02,3,Midwest,28.99,4,1,Kansas,73,23.21,8,4,Illinois,69,,4,3,
57,22-Mar-02,2002,2001-02,3,Midwest,22.97,9,2,Oregon,72,17.69,27,6,Texas,70,,2,4,
58,23-Mar-02,2002,2001-02,4,South,24.8,6,5,Indiana,81,20.39,14,10,Kent St.,69,,12,5,
59,23-Mar-02,2002,2001-02,4,West,26.04,5,2,Oklahoma,81,17.49,29,12,Missouri,75,,6,10,
60,24-Mar-02,2002,2001-02,4,East,29.25,3,1,Maryland,90,19.36,18,2,Connecticut,82,,8,1,
61,24-Mar-02,2002,2001-02,4,Midwest,28.99,4,1,Kansas,104,22.97,9,2,Oregon,86,,18,1,
62,30-Mar-02,2002,2001-02,5,Final Four,29.25,3,1,Maryland,97,28.99,4,1,Kansas,88,,9,0,
63,30-Mar-02,2002,2001-02,5,Final Four,26.04,5,2,Oklahoma,64,24.8,6,5,Indiana,73,,9,-3,5 over 2
64,1-Apr-02,2002,2001-02,6,Championship,29.25,3,1,Maryland,64,24.8,6,5,Indiana,52,,12,4,
65,18-Mar-03,2003,2002-03,PI,South,-10.45,260,16,Texas Southern,84,-12.35,283,16,UNC Asheville,92,1 OT,8,0,
66,20-Mar-03,2003,2002-03,1,Midwest,14.53,40,4,Dayton,71,13.04,51,13,Tulsa,84,,13,-9,13 over 4
67,20-Mar-03,2003,2002-03,1,West,17.54,26,6,Creighton,73,10.01,70,11,Central Michigan,79,,6,-5,11 over 6
68,20-Mar-03,2003,2002-03,1,East,23.01,9,1,Oklahoma,71,-8.59,244,16,South Carolina St.,54,,17,15,
69,20-Mar-03,2003,2002-03,1,East,13.59,47,8,California,76,13.18,50,9,North Carolina St.,74,1 OT,2,1,
70,20-Mar-03,2003,2002-03,1,Midwest,21.3,15,3,Marquette,72,10.4,66,14,Holy Cross,68,,4,11,
71,20-Mar-03,2003,2002-03,1,Midwest,22.07,12,5,Wisconsin,81,8.88,76,12,Weber St.,74,,7,7,
72,20-Mar-03,2003,2002-03,1,Midwest,17.32,28,6,Missouri,72,11.76,55,11,Southern Illinois,71,,1,5,
73,20-Mar-03,2003,2002-03,1,South,14.57,39,4,Stanford,77,8.32,80,13,San Diego,69,,8,9,
74,20-Mar-03,2003,2002-03,1,South,19.54,22,5,Connecticut,58,17.68,24,12,BYU,53,,5,7,
75,20-Mar-03,2003,2002-03,1,West,26.8,4,1,Arizona,80,1.57,150,16,Vermont,51,,29,15,
76,20-Mar-03,2003,2002-03,1,West,28.62,2,2,Kansas,64,7.41,88,15,Utah St.,61,,3,13,
77,20-Mar-03,2003,2002-03,1,West,23.75,6,3,Duke,67,5.96,104,14,Colorado St.,57,,10,11,
78,20-Mar-03,2003,2002-03,1,West,24.47,5,4,Illinois,65,11.75,56,13,Western Kentucky,60,,5,9,
79,20-Mar-03,2003,2002-03,1,West,20.31,18,5,Notre Dame,70,12.97,52,12,Milwaukee,69,,1,7,
80,20-Mar-03,2003,2002-03,1,West,16.72,29,7,Memphis,71,16.49,30,10,Arizona St.,84,,13,-3,10 over 7
81,20-Mar-03,2003,2002-03,1,West,15.58,33,9,Gonzaga,74,14.69,36,8,Cincinnati,69,,5,-1,
82,21-Mar-03,2003,2002-03,1,East,21.53,14,5,Mississippi St.,46,16.09,31,12,Butler,47,,1,-7,12 over 5
83,21-Mar-03,2003,2002-03,1,East,19.87,21,2,Wake Forest,76,1.75,147,15,East Tennessee St.,73,,3,13,
84,21-Mar-03,2003,2002-03,1,East,23.28,8,3,Syracuse,76,10.04,68,14,Manhattan,65,,11,11,
85,21-Mar-03,2003,2002-03,1,East,22.75,10,4,Louisville,86,2.65,135,13,Austin Peay,64,,22,9,
86,21-Mar-03,2003,2002-03,1,East,17.67,25,6,Oklahoma St.,77,13.35,48,11,Penn,63,,14,5,
87,21-Mar-03,2003,2002-03,1,Midwest,29.18,1,1,Kentucky,95,0.46,161,16,IUPUI,64,,31,15,
88,21-Mar-03,2003,2002-03,1,Midwest,28.61,3,2,Pittsburgh,87,-1.16,179,15,Wagner,61,,26,13,
89,21-Mar-03,2003,2002-03,1,Midwest,14.6,38,10,Alabama,62,14.48,41,7,Indiana,67,,5,3,
90,21-Mar-03,2003,2002-03,1,South,23.49,7,1,Texas,82,-12.35,283,16,UNC Asheville,61,,21,15,
91,21-Mar-03,2003,2002-03,1,South,22.14,11,2,Florida,85,0.82,157,15,Sam Houston St.,55,,30,13,
92,21-Mar-03,2003,2002-03,1,South,19.88,20,3,Xavier,71,19.88,20,3,Xavier,71,,12,11,
93,21-Mar-03,2003,2002-03,1,South,22,13,6,Maryland,75,14.62,37,11,UNC Wilmington,73,,2,5,
94,21-Mar-03,2003,2002-03,1,South,20.26,19,7,Michigan St.,79,15.27,34,10,Colorado,64,,15,3,
95,21-Mar-03,2003,2002-03,1,East,20.75,17,7,Saint Joseph's,63,13.63,46,10,Auburn,65,1 OT,2,-3,10 over 7
96,21-Mar-03,2003,2002-03,1,Midwest,14.25,42,8,Oregon,58,14.04,44,9,Utah,60,,2,-1,
97,21-Mar-03,2003,2002-03,1,South,18.15,23,8,LSU,56,17.42,27,9,Purdue,80,,24,-1,
98,22-Mar-03,2003,2002-03,2,East,23.01,9,1,Oklahoma,74,13.59,47,8,California,65,,9,7,
99,22-Mar-03,2003,2002-03,2,Midwest,21.3,15,3,Marquette,101,17.32,28,6,Missouri,92,1 OT,9,3,
100,22-Mar-03,2003,2002-03,2,Midwest,22.07,12,5,Wisconsin,61,13.04,51,13,Tulsa,60,,1,8,
101,22-Mar-03,2003,2002-03,2,West,26.8,4,1,Arizona,96,15.58,33,9,Gonzaga,95,2 OT,1,8,
