"","player_names"
"1","A.C. Green"
"2","A.J. Bramlett"
"3","A.J. English"
"4","A.J. Guyton"
"5","A.J. Hammons"
"6","A.J. Price"
"7","A.J. Wynder"
"8","Aaron Brooks"
"9","Aaron Gordon"
"10","Aaron Gray"
"11","Aaron Harrison"
"12","Aaron Holiday"
"13","Aaron Jackson"
"14","Aaron McKie"
"15","Aaron Miles"
"16","Aaron Nesmith"
"17","Aaron Swinson"
"18","Aaron Williams"
"19","Abdel Nader"
"20","Acie Earl"
"21","Acie Law"
"22","Adam Harrington"
"23","Adam Keefe"
"24","Adam Mokoka"
"25","Adam Morrison"
"26","Admiral Schofield"
"27","Adonal Foyle"
"28","Adonis Jordan"
"29","Adonis Thomas"
"30","Adreian Payne"
"31","Adrian Caldwell"
"32","Adrian Dantley*"
"33","Adrian Griffin"
"34","Al-Farouq Aminu"
"35","Al Harrington"
"36","Al Horford"
"37","Al Jefferson"
"38","Al Thornton"
"39","Alaa Abdelnaby"
"40","Alan Anderson"
"41","Alan Henderson"
"42","Alan Ogg"
"43","Alan Williams"
"44","Alando Tucker"
"45","Albert King"
"46","Alec Burks"
"47","Alec Kessler"
"48","Alec Peters"
"49","Aleksandar Djordjevic"
"50","Aleksandar Radojevic"
"51","Aleksej Pokusevski"
"52","Alen Smailagic"
"53","Alex Abrines"
"54","Alex Acker"
"55","Alex Blackwell"
"56","Alex Caruso"
"57","Alex English*"
"58","Alex Garcia"
"59","Alex Kirk"
"60","Alex Len"
"61","Alex Poythress"
"62","Alex Scales"
"63","Alex Stepheson"
"64","Alex Stivrins"
"65","Alexander Johnson"
"66","Alexander Volkov"
"67","Alexey Shved"
"68","Alexis Ajinca"
"69","Alfonzo McKinnie"
"70","Alize Johnson"
"71","Allan Houston"
"72","Allan Ray"
"73","Allen Crabbe"
"74","Allen Iverson*"
"75","Allonzo Trier"
"76","Alonzo Gee"
"77","Alonzo Mourning*"
"78","Alphonso Ford"
"79","Alton Ford"
"80","Alton Lister"
"81","Alvin Heggs"
"82","Alvin Jones"
"83","Alvin Robertson"
"84","Alvin Sims"
"85","Alvin Williams"
"86","Amal McCaskill"
"87","Amar'e Stoudemire"
"88","Amida Brimah"
"89","Amile Jefferson"
"90","Amir Coffey"
"91","Amir Johnson"
"92","Anderson Varejao"
"93","Andrae Patterson"
"94","Andray Blatche"
"95","Andre Barrett"
"96","Andre Brown"
"97","Andre Dawkins"
"98","Andre Drummond"
"99","Andre Emmett"
"100","Andre Iguodala"
"101","Andre Ingram"
"102","Andre Miller"
"103","Andre Owens"
"104","Andre Roberson"
"105","Andre Spencer"
"106","Andre Turner"
"107","Andrea Bargnani"
"108","Andreas Glyniadakis"
"109","Andrei Kirilenko"
"110","Andres Guibert"
"111","Andres Nocioni"
"112","Andrew Bogut"
"113","Andrew Bynum"
"114","Andrew DeClercq"
"115","Andrew Gaze"
"116","Andrew Goudelock"
"117","Andrew Harrison"
"118","Andrew Lang"
"119","Andrew Nicholson"
"120","Andrew White"
"121","Andrew Wiggins"
"122","Andris Biedrins"
"123","Andy Panko"
"124","Andy Rautins"
"125","Andy Toolson"
"126","Anfernee Hardaway"
"127","Anfernee Simons"
"128","Angel Delgado"
"129","Ansu Sesay"
"130","Antawn Jamison"
"131","Ante Zizic"
"132","Anthony Avent"
"133","Anthony Bennett"
"134","Anthony Bonner"
"135","Anthony Bowie"
"136","Anthony Brown"
"137","Anthony Carter"
"138","Anthony Cook"
"139","Anthony Davis"
"140","Anthony Edwards"
"141","Anthony Frederick"
"142","Anthony Gill"
"143","Anthony Goldwire"
"144","Anthony Grundy"
"145","Anthony Johnson"
"146","Anthony Lamb"
"147","Anthony Mason"
"148","Anthony Miller"
"149","Anthony Morrow"
"150","Anthony Parker"
"151","Anthony Peeler"
"152","Anthony Pullard"
"153","Anthony Randolph"
"154","Anthony Roberson"
"155","Anthony Tolliver"
"156","Anthony Tucker"
"157","Antoine Carr"
"158","Antoine Rigaudeau"
"159","Antoine Walker"
"160","Antoine Wright"
"161","Antonio Anderson"
"162","Antonio Blakeney"
"163","Antonio Burks"
"164","Antonio Daniels"
"165","Antonio Davis"
"166","Antonio Harvey"
"167","Antonio Lang"
"168","Antonio McDyess"
"169","Antonis Fotsis"
"170","Antonius Cleveland"
"171","Anzejs Pasecniks"
"172","Archie Goodwin"
"173","Arinze Onuaku"
"174","Armen Gilliam"
"175","Armon Johnson"
"176","Armoni Brooks"
"177","Arnett Moultrie"
"178","Aron Baynes"
"179","Arron Afflalo"
"180","Art Long"
"181","Arvydas Macijauskas"
"182","Arvydas Sabonis*"
"183","Ashraf Amaya"
"184","Ashton Hagans"
"185","Askia Jones"
"186","Austin Croshere"
"187","Austin Daye"
"188","Austin Rivers"
"189","Avery Bradley"
"190","Avery Johnson"
"191","Awvee Storey"
"192","Axel Toupane"
"193","B.J. Armstrong"
"194","B.J. Johnson"
"195","B.J. Tyler"
"196","Bam Adebayo"
"197","Baron Davis"
"198","Barry Stevens"
"199","Bart Kofoed"
"200","Ben Bentil"
"201","Ben Coleman"
"202","Ben Davis"
"203","Ben Gordon"
"204","Ben Handlogten"
"205","Ben Hansbrough"
"206","Ben McLemore"
"207","Ben Moore"
"208","Ben Simmons"
"209","Ben Uzoh"
"210","Ben Wallace*"
"211","Beno Udrih"
"212","Benoit Benjamin"
"213","Bernard James"
