,salary_names
1,A.C. Green
2,A.J. Bramlett
3,A.J. English
4,A.J. Wynder
5,Aaron Brooks
6,Aaron Gordon
7,Aaron Gray
8,Aaron Harrison
9,Aaron Holiday
10,Aaron Jackson
11,Aaron McKie
12,Aaron Miles
13,Aaron Nesmith
14,Aaron Swinson
15,Aaron Williams
16,Abdel Nader
17,Acie Earl
18,Acie Law
19,Adam Haluska
20,Adam Harrington
21,Adam Keefe
22,Adam Mokoka
23,Adam Morrison
24,Ademola Okulaja
25,Admiral Schofield
26,Adonal Foyle
27,Adonis Jordan
28,Adreian Payne
29,Adrian Caldwell
30,Adrian Custis
31,Adrian Dantley
32,Adrian Griffin
33,AJ Guyton
34,AJ Hammons
35,AJ Price
36,Al-Farouq Aminu
37,Al Harrington
38,Al Horford
39,Al Jefferson
40,Al Thornton
41,Alaa Abdelnaby
42,Alan Anderson
43,Alan Bannister
44,Alan Henderson
45,Alan Ogg
46,Alan Williams
47,Alando Tucker
48,Alec Burks
49,Alec Kessler
50,Alec Peters
51,Aleksandar Pavlovic
52,Aleksandar Radojevic
53,Aleksej Pokusevski
54,Alen Smailagic
55,Alex Abrines
56,Alex Acker
57,Alex Blackwell
58,Alex Caruso
59,Alex English
60,Alex Garcia
61,Alex Kirk
62,Alex Len
63,Alex Poythress
64,Alex Scales
65,Alex Stepheson
66,Alex Stivrins
67,Alexander Johnson
68,Alexander Volkov
69,Alexey Shved
70,Alexis Ajinca
71,Alfonzo McKinnie
72,Alize Johnson
73,Allan Houston
74,Allan Ray
75,Allen Crabbe
76,Allen Iverson
77,Allonzo Trier
78,Alonzo Gee
79,Alonzo Mourning
80,Alton Ford
81,Alton Lister
82,Alvin Heggs
83,Alvin Jones
84,Alvin Robertson
85,Alvin Williams
86,Amal McCaskill
87,Amare Stoudemire
88,Amida Brimah
89,Amile Jefferson
90,Amir Coffey
91,Amir Johnson
92,Anderson Varejao
93,Andrae Patterson
94,Andray Blatche
95,Andre Barrett
96,Andre Brown
97,Andre Dawkins
98,Andre Drummond
99,Andre Emmett
100,Andre Iguodala
101,Andre Ingram
102,Andre Miller
103,Andre Owens
104,Andre Roberson
105,Andre Spencer
106,Andre Turner
107,Andrea Bargnani
108,Andreas Glyniadakis
109,Andrei Kirilenko
110,Andres Guibert
111,Andres Nocioni
112,Andrew Bogut
113,Andrew Bynum
114,Andrew DeClercq
115,Andrew Gaze
116,Andrew Goudelock
117,Andrew Harrison
118,Andrew Lang
119,Andrew Nicholson
120,Andrew Toney
121,Andrew White
122,Andrew Wiggins
123,Andris Biedrins
124,Andy Panko
125,Andy Rautins
126,Andy Toolson
127,Anfernee Hardaway
128,Anfernee Simons
129,Angel Delgado
130,Ansu Sesay
131,Antawn Jamison
132,Ante Zizic
133,Anthony Avent
134,Anthony Barber
135,Anthony Bennett
136,Anthony Bonner
137,Anthony Bowie
138,Anthony Brown
139,Anthony Carter
140,Anthony Cook
141,Anthony Davis
142,Anthony Edwards
143,Anthony Frederick
144,Anthony Gill
145,Anthony Goldwire
146,Anthony Johnson
147,Anthony Lamb
148,Anthony Mason
149,Anthony Miller
150,Anthony Morrow
151,Anthony Parker
152,Anthony Peeler
153,Anthony Pullard
154,Anthony Randolph
155,Anthony Roberson
156,Anthony Tolliver
157,Anthony Tucker
158,Antoine Carr
159,Antoine Walker
160,Antoine Wright
161,Antonio Anderson
162,Antonio Blakeney
163,Antonio Burks
164,Antonio Daniels
165,Antonio Davis
166,Antonio Harvey
167,Antonio Lang
168,Antonio McDyess
169,Antonis Fotsis
170,Antonius Cleveland
171,Anzejs Pasecniks
172,Archie Goodwin
173,Arinze Onuaku
174,Armen Gilliam
175,Armon Johnson
176,Armoni Brooks
177,Arnett Moultrie
178,Aron Baynes
179,Arron Afflalo
180,Art Long
181,Arthur Johnson
182,Arvydas Macijauskas
183,Arvydas Sabonis
184,Ashraf Amaya
185,Ashton Hagans
186,Askia Jones
187,Austin Croshere
188,Austin Daye
189,Austin Rivers
190,Avery Bradley
191,Avery Johnson
192,Awvee Storey
193,Axel Toupane
194,B.J. Tyler
195,Bakari Hendrix
196,Bam Adebayo
197,Baron Davis
198,Bart Kofoed
199,Beau Beech
200,Ben Bentil
201,Ben Davis
202,Ben Gordon
203,Ben Handlogten
204,Ben Hansbrough
205,Ben McLemore
206,Ben Moore
207,Ben Simmons
208,Ben Uzoh
209,Ben Wallace
210,Beno Udrih
211,Benoit Benjamin
212,Bernard James
213,Bernard King
214,Bernard Robinson
215,Bill Cartwright
216,Bill Curley
217,Bill Hanzlik
218,Bill Laimbeer
219,Bill Wennington
220,Billy Garrett
221,Billy Owens
222,Billy Preston
223,Billy Thomas
224,Billy Thompson
225,Bimbo Coles
226,Bismack Biyombo
227,Bison Dele
228,BJ Armstrong
229,BJ Johnson
230,BJ Mullens
231,Blair Rasmussen
232,Blake Ahearn
233,Blake Griffin
234,Blue Edwards
235,Bo Kimble
236,Bo Outlaw
237,Bob Hansen
238,Bob Martin
239,Bob McCann
240,Bob Sura
241,Bob Thornton
242,Boban Marjanovic
243,Bobby Brown
244,Bobby Hurley
245,Bobby Jackson
246,Bobby Jones
247,Bobby Phills
248,Bobby Portis
249,Bobby Simmons
250,Bogdan Bogdanovic
251,Bojan Bogdanovic
252,Bol Bol
253,Boniface N'Dong
254,Bonzi Wells
255,Bonzie Colson
