TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
1/2/2020,Dividend,MF,PONAX,0,7.28,0,0,PIMCO INCOME A                PIMCO                         
1/2/2020,Dividend,MF,PONAX,0.605,-7.28,0,0,PIMCO INCOME A                PIMCO                         
1/6/2020,Dividend,MF,AMAGX,-0.306,13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
1/6/2020,Dividend,MF,AMAGX,-0.334,14.76,0,0,AMANA GROWTH INVESTOR         AMANA                         
1/6/2020,Dividend,MF,AMAGX,0,-13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
1/6/2020,Dividend,MF,AMAGX,0,-14.76,0,0,AMANA GROWTH INVESTOR         AMANA                         
1/6/2020,Dividend,MF,AMANX,-0.047,2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
1/6/2020,Dividend,MF,AMANX,-0.469,24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
1/6/2020,Dividend,MF,AMANX,0,-2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
1/6/2020,Dividend,MF,AMANX,0,-24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
1/6/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:35588194482;
1/7/2020,Dividend,MF,AMAGX,0,13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
1/7/2020,Dividend,MF,AMAGX,0,14.76,0,0,AMANA GROWTH INVESTOR         AMANA                         
1/7/2020,Dividend,MF,AMAGX,0.305,-13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
1/7/2020,Dividend,MF,AMAGX,0.333,-14.76,0,0,AMANA GROWTH INVESTOR         AMANA                         
1/7/2020,Dividend,MF,AMANX,0,2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
1/7/2020,Dividend,MF,AMANX,0,24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
1/7/2020,Dividend,MF,AMANX,0.046,-2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
1/7/2020,Dividend,MF,AMANX,0.465,-24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
1/13/2020,Direct Debit,UNKNOWN, ,0,-537.1,0,0,ACHDEBIT                      CHASE CREDIT CRD              
1/13/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:36007056482;
1/15/2020,Sold,MF,OAKBX,-66.947,1976.28,29.52,0,OAKMARK EQUITY AND INCOME INVEOAKMARK                       
1/16/2020,Adjustment,EQ,#8661019,0,0,0,0,$ 18259.88 FAIR MARKET VALUE - 12/31/19
1/16/2020,Sold,MF,OAKBX,-52.6,1561.17,29.68,0,OAKMARK EQUITY AND INCOME INVEOAKMARK                       
1/17/2020,Fee,UNKNOWN, ,0,-49.99,0,0,Early Redemption Fee - OAKBX
1/21/2020,Bought,MF,LDVAX,21.097,-500,23.7,0,LELAND THOMSON REUTERS VNTR CPLELAND FUNDS                  
1/21/2020,Sold,MF,TRDFX,-41.197,575.11,13.96,0,CROSSMARK STEWARD SM-MD CP ENHCROSSMARK STEWARD FUNDS       
1/21/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:36441960482;
1/22/2020,Bought,MF,AKREX,14.492,-677.79,46.77,0,AKRE FOCUS RETAIL             AKRE                          
1/22/2020,Bought,MF,BGSAX,27.457,-1000,36.42,0,BLACKROCK TECHNOLOGY OPPORTUNIBLACKROCK                     
1/22/2020,Bought,MF,PRMTX,3.86,-500,129.52,0,T. ROWE PRICE COMM & TECH INVET. ROWE PRICE                 
1/22/2020,Sold,EQ,EES,-30,1133.07,37.77,0,WISDOMTREE TRUST              WISDOMTREE U S SMALLCAP FUND
1/22/2020,Sold,MF,NBGAX,-42.757,2567.13,60.04,0,NEUBERGER BERMAN GENESIS ADV  NEUBERGER BERMAN              
1/22/2020,Sold,MF,OBCHX,-96.306,1248.12,12.96,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
1/22/2020,Sold,MF,PONAX,-144.439,1746.27,12.09,0,PIMCO INCOME A                PIMCO                         
1/23/2020,Bought,MF,BGAFX,33.047,-1000,30.26,0,BARON GLOBAL ADVANTAGE RETAIL BARON CAPITAL GROUP           
1/23/2020,Bought,MF,DXQLX,28.499,-1000,35.0888,0,DIREXION MTHLY NASDAQ-100 BULLDIREXION FUNDS                
1/23/2020,Bought,MF,JAGTX,24.39,-1000,41,0,JANUS HENDERSON GLOBAL TECHNOLJANUS HENDERSON               
1/23/2020,Bought,MF,RYVYX,4.681,-1000,213.64,0,RYDEX NASDAQ-100?? 2X STRATEGY Rydex Funds                  
1/23/2020,Bought,MF,SMPIX,16.287,-1000,61.4,0,PROFUNDS SEMICONDUCTOR ULTRASEPROFUNDS                      
1/23/2020,Bought,MF,TEPSX,18.543,-1000,53.93,0,PROFUNDS TECHNOLOGY ULTRASECTOPROFUNDS                      
1/23/2020,Bought,MF,UOPIX,9.982,-1000,100.18,0,PROFUNDS ULTRANASDAQ-100 INV  PROFUNDS                      
1/23/2020,Fee,UNKNOWN, ,0,-49.99,0,0,Early Redemption Fee - TRDFX
1/24/2020,Bought,MF,AKREX,6.901,-321.67,46.61,0,AKRE FOCUS RETAIL             AKRE                          
1/24/2020,Bought,MF,INPIX,9.434,-941.74,99.82,0,PROFUNDS INTERNET ULTRASECTOR PROFUNDS                      
1/24/2020,Fee,UNKNOWN, ,0,-49.99,0,0,Early Redemption Fee - PONAX
1/27/2020,Bought,MF,PRMTX,3.947,-500,126.68,0,T. ROWE PRICE COMM & TECH INVET. ROWE PRICE                 
1/27/2020,Interest,EQ,#2145605,0,0.02,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
1/27/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:36776408482;
1/31/2020,Dividend,MF,SVAAX,0,2.74,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
1/31/2020,Dividend,MF,SVAAX,0.486,-2.74,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
2/3/2020,Bought,MF,SMPIX,1.77,-100,56.51,0,PROFUNDS SEMICONDUCTOR ULTRASEPROFUNDS                      
2/3/2020,Bought,MF,UOPIX,1.021,-100,97.99,0,PROFUNDS ULTRANASDAQ-100 INV  PROFUNDS                      
2/3/2020,Dividend,MF,PONAX,0,4.88,0,0,PIMCO INCOME A                PIMCO
2/3/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:37189945482;
2/10/2020,Sold,MF,GOLDX,-156.858,2548.94,16.25,0,GABELLI GOLD AAA              GABELLI                       
2/10/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:37633643482;
2/11/2020,Bought,MF,ULPIX,11.777,-1000,84.91,0,PROFUNDS ULTRABULL INV        PROFUNDS                      
2/11/2020,Direct Debit,UNKNOWN, ,0,-577.7,0,0,ACHDEBIT                      CHASE CREDIT CRD              
2/18/2020,Bought,MF,BPTRX,11.355,-1000,88.07,0,BARON PARTNERS RETAIL         BARON CAPITAL GROUP           
2/18/2020,Bought,MF,ROGSX,30.404,-1000,32.89,0,RED OAK TECHNOLOGY SELECT     OAK ASSOCIATES                
2/18/2020,Sold,MF,GABSX,-42.922,2046.95,47.69,0,GABELLI SMALL CAP GROWTH AAA  GABELLI                       
2/18/2020,Sold,MF,OBCHX,-238.196,3091.79,12.98,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
2/18/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:38091222482;
2/19/2020,Bought,MF,BMGAX,34.364,-1000,29.1,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
2/19/2020,Bought,MF,DXSLX,27.595,-1000,36.2388,0,DIREXION MTHLY S&P 500 BULL 2XDIREXION FUNDS                
2/19/2020,Bought,MF,FKDNX,10.011,-1000,99.89,0,FRANKLIN DYNATECH A           FRANKLIN TEMPLETON INVESTMENTS
2/19/2020,Bought,MF,MFEGX,7.613,-1000,131.36,0,MFS GROWTH A                  MFS                           
