Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
AKREX,49.46,0.57,1.17,21.3930,46.7184,12.1900,58.6500,5.8682,1058.0978
AMANX,52.99,0.47,0.89,9.1710,49.0397,4.3100,36.2300,8.0557,485.9713
BGAFX,40.31,0.10,0.25,39.7820,30.1174,3.9800,405.4800,33.8427,1603.6124
BGSAX,46.66,0.12,0.26,22.6400,36.42,2.7200,231.8300,28.1160,1056.3824
BMGAX,29.54,0.46,1.58,55.0730,28.3299,25.3300,66.6400,4.2712,1626.8564
BPTRX,96.43,2.70,2.88,21.8720,84.5846,59.0500,259.0800,14.0041,2109.1170
DXQLX,45.3343,0.10,0.22,39.9200,32.9078,4.0000,496.0700,37.7619,1809.7453
DXSLX,31.5832,0.55,1.76,49.9100,33.0598,27.2900,-73.7000,-4.4666,1576.3175
FKDNX,112.26,0.52,0.47,12.0960,99.2046,6.2900,157.9200,13.1602,1357.8970
FNCMX,133.00,0.78,0.59,8.3570,117.27,6.5200,111.4700,11.1468,1111.4810
GOLDX,22.52,0.24,1.08,47.4850,10.9405,11.4000,549.8500,105.8406,1069.3622
INPIX,126.31,0.24,0.19,9.3270,96.1709,2.2400,281.1100,31.3394,1178.0934
JAGTX,47.37,-0.01,-0.02,26.7870,41.0644,-.2700,168.9100,15.3556,1268.9002
LDVAX,28.35,-0.01,-0.04,25.8500,23.2109,-.2600,132.8500,22.1416,732.8475
MFEGX,136.08,0.60,0.44,10.0980,129.0535,6.0600,70.9500,5.4444,1374.1358
NBGEX,59.55,1.46,2.51,16.3690,53.8084,23.9000,93.9900,10.6711,974.7740
NNLEX,25.91,0.58,2.29,65.6530,24.7154,38.0800,78.4300,4.8335,1701.0692
NNTWX,27.18,0.52,1.95,53.4390,26.2714,27.7900,48.5600,3.4589,1452.4720
OBCHX,16.37,0.02,0.12,202.1080,10.5496,4.0400,1176.3500,55.1717,3308.5080
PGRTX,14.59,0.37,2.60,98.6220,11.8576,36.4900,269.4800,23.0440,1438.8950
PGTAX,54.87,0.57,1.05,22.6820,48.4965,12.9300,144.5600,13.1418,1244.5613
PRMTX,161.29,-0.11,-0.07,8.5420,128.7687,-.9400,277.8000,25.2559,1377.7392
PYVAX,16.25,0.15,0.93,62.5090,16.9579,9.3800,-44.2500,-4.1744,1015.7713
PYVLX,16.27,0.16,0.99,60.3180,14.4553,9.6500,109.4600,12.5540,981.3739
RMQHX,265.42,0.58,0.22,3.8540,186.6136,2.2400,303.7200,42.2297,1022.9287
ROGSX,34.26,-0.01,-0.03,53.0390,31.1091,-.5300,167.1200,10.1285,1817.1161
RYOCX,54.30,0.06,0.11,56.6050,43.6599,3.4000,602.2900,24.3707,3073.6515
RYVYX,258.07,0.59,0.23,5.2230,210.6016,3.0800,247.9300,22.5397,1347.8996
SFLNX,16.16,0.26,1.64,48.7120,15.2552,12.6700,44.0800,5.9318,787.1859
SMPIX,62.86,-0.15,-0.24,28.2350,56.6694,-4.2400,174.7900,10.9240,1774.8521
SVAAX,4.67,0.04,0.86,290.6500,5.5904,11.6300,-267.5100,-16.4637,1357.3355
SWPPX,49.86,0.45,0.91,13.7570,48.6084,6.1900,17.2200,2.5751,685.9240
TEPSX,60.25,0.18,0.30,25.7900,52.3471,4.6400,203.8200,15.0974,1553.8475
ULPIX,70.12,1.25,1.82,21.4740,76.8387,26.8400,-144.2800,-8.7441,1505.7569
UOPIX,120.32,0.31,0.26,18.5890,94.1398,5.7600,486.6600,27.8097,2236.6285
VIHAX,25.84,0.18,0.70,118.3740,25.3434,21.3100,58.7900,1.9597,3058.7842
