name,player_id,season,team.x,games,mpg,fg%,3pt%,ft%,orb,drb,trb,ast,stl,blk,tov,pt,prod_pts
Damian Lillard,10814,2020,POR,28,36,0.445,0.385,0.935,0.50,3.96,4.46,7.89,1.07,0.25,3.14,30.00,46.70
Damian Lillard,10814,2019,POR,66,37.47,0.463,0.401,0.888,0.50,3.80,4.30,8.03,1.06,0.33,2.94,29.97,47.03
Damian Lillard,10814,2018,POR,80,35.46,0.444,0.369,0.912,0.85,3.79,4.64,6.89,1.10,0.43,2.65,25.84,42.13
Damian Lillard,10814,2017,POR,73,36.56,0.439,0.361,0.916,0.85,3.60,4.45,6.59,1.07,0.37,2.81,26.88,42.17
Damian Lillard,10814,2016,POR,75,35.91,0.444,0.370,0.895,0.61,4.29,4.91,5.85,0.92,0.27,2.61,26.99,41.41
Damian Lillard,10814,2015,POR,75,35.68,0.419,0.375,0.892,0.60,3.43,4.03,6.83,0.87,0.37,3.23,25.05,39.38
Damian Lillard,10814,2014,POR,82,35.66,0.434,0.343,0.864,0.60,4.01,4.61,6.18,1.18,0.26,2.71,20.98,35.95
Damian Lillard,10814,2013,POR,81,35.81,0.424,0.394,0.872,0.42,3.06,3.48,5.52,0.79,0.27,2.37,20.64,32.85
Damian Lillard,10814,2012,POR,78,38.69,0.430,0.364,0.840,0.51,2.65,3.17,6.59,0.95,0.23,2.95,19.09,32.18
C.J. McCollum,13323,2020,POR,13,33.77,0.473,0.441,0.844,0.54,3.38,3.92,5.00,1.31,0.31,1.00,26.69,41.13
C.J. McCollum,13323,2019,POR,70,36.51,0.451,0.379,0.757,0.66,3.59,4.24,4.43,0.77,0.60,1.81,22.23,34.89
C.J. McCollum,13323,2018,POR,70,33.93,0.459,0.375,0.828,0.89,3.14,4.03,2.96,0.79,0.40,1.51,20.97,31.10
C.J. McCollum,13323,2017,POR,81,36.09,0.443,0.397,0.836,0.65,3.31,3.96,3.36,0.95,0.43,1.88,21.38,32.06
C.J. McCollum,13323,2016,POR,80,34.94,0.480,0.420,0.912,0.75,2.91,3.66,3.56,0.90,0.53,2.15,22.96,33.40
C.J. McCollum,13323,2015,POR,80,34.75,0.448,0.416,0.827,0.59,2.65,3.24,4.26,1.21,0.30,2.45,20.83,31.68
C.J. McCollum,13323,2014,POR,62,15.69,0.436,0.396,0.699,0.23,1.24,1.47,1.03,0.69,0.13,0.77,6.84,11.02
C.J. McCollum,13323,2013,POR,37,12.65,0.414,0.372,0.688,0.19,1.11,1.30,0.70,0.38,0.05,0.92,5.27,7.83
Evan Turner,6883,2019,MIN,19,13.21,0.373,0.000,0.857,0.42,1.58,2.00,2.00,0.47,0.42,1.37,3.26,9.08
Evan Turner,6883,2018,POR,73,21.99,0.460,0.212,0.708,0.51,3.99,4.49,3.88,0.45,0.25,1.56,6.77,17.81
Evan Turner,6883,2017,POR,79,25.73,0.447,0.318,0.850,0.38,2.71,3.09,2.19,0.59,0.37,1.25,8.22,15.88
Evan Turner,6883,2016,POR,65,25.51,0.426,0.263,0.825,0.55,3.23,3.78,3.15,0.85,0.37,1.54,9.02,19.18
Evan Turner,6883,2015,BOS,81,28.02,0.456,0.241,0.827,0.62,4.28,4.90,4.43,0.99,0.35,2.09,10.54,23.65
Evan Turner,6883,2014,BOS,82,27.55,0.429,0.277,0.752,0.49,4.60,5.09,5.48,1.01,0.23,2.41,9.50,23.89
